"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",6,4,3,2,2,2,3,1,2,6,1,3,1,5,4,2
"2",3,4,2,5,1,5,6,4,1,5,4,3,5,1,6,1
"3",1,4,3,6,3,6,2,3,1,1,6,1,3,3,2,4
"4",3,6,4,5,6,5,4,3,5,4,1,1,1,3,2,1
"5",3,5,3,1,2,4,5,6,1,4,1,3,3,5,1,6
"6",4,3,4,1,1,4,3,4,4,1,5,1,2,6,6,1
"7",1,1,3,6,4,3,4,4,2,4,4,6,1,5,6,6
"8",2,4,1,2,6,5,4,1,6,2,6,3,4,5,6,3
"9",6,2,1,4,4,2,5,4,6,4,3,1,4,6,3,1
"10",3,2,2,1,4,2,1,6,3,2,2,2,5,3,6,2
"11",1,6,1,5,1,3,3,6,4,6,5,2,4,4,4,5
"12",1,6,2,1,3,4,5,1,4,3,4,4,1,2,5,5
"13",4,5,2,3,5,3,1,1,5,5,4,2,6,2,1,2
"14",6,2,6,1,6,1,2,4,5,3,4,6,4,4,4,5
"15",5,1,2,1,5,6,6,3,2,6,5,2,3,4,3,3
"16",4,2,5,3,6,5,5,2,1,1,4,5,1,3,5,2
"17",4,5,1,6,5,1,6,2,3,3,1,2,2,4,5,4
"18",2,2,4,1,2,5,1,3,3,6,4,5,2,1,1,4
"19",6,4,6,2,4,4,4,5,3,5,6,1,1,2,2,5
"20",3,1,1,5,1,1,4,1,3,1,3,6,3,2,3,3
"21",4,4,4,1,4,6,1,2,4,2,1,6,4,5,3,6
"22",4,6,5,6,1,2,2,5,2,3,2,5,2,2,3,5
"23",6,6,1,2,1,5,2,2,6,4,3,4,5,3,2,4
"24",5,3,2,4,6,5,3,6,4,4,1,6,2,1,6,4
"25",5,6,5,2,5,3,6,6,5,5,3,5,3,5,5,2
"26",4,4,6,5,4,4,3,6,1,6,2,6,6,4,1,3
"27",1,3,5,2,4,2,3,2,6,1,3,2,2,4,1,6
"28",2,2,2,2,2,3,6,4,5,3,6,6,3,3,1,2
"29",1,1,3,3,6,1,2,5,4,5,2,3,1,6,2,3
"30",2,6,6,4,2,1,5,3,2,2,4,1,4,5,1,3
"31",2,2,4,5,5,2,5,6,2,3,6,2,2,2,4,2
"32",2,1,6,3,1,5,6,6,3,2,3,4,4,6,4,5
"33",1,3,3,4,3,5,6,1,3,3,1,5,6,4,2,1
"34",2,5,1,3,3,6,1,5,2,5,3,6,2,4,4,1
"35",2,5,3,5,2,2,2,3,5,1,2,5,6,6,6,3
"36",3,5,6,5,4,4,5,1,6,6,5,6,2,6,3,4
"37",6,6,6,4,4,6,3,1,1,3,3,2,3,1,6,3
"38",1,4,6,6,5,4,1,4,6,2,1,4,3,1,4,2
"39",5,1,6,3,3,2,5,3,6,5,1,4,6,3,6,4
"40",6,6,2,6,6,4,4,5,3,1,4,4,5,5,2,2
"41",5,1,1,3,2,4,3,2,2,3,2,1,6,1,4,5
"42",5,3,1,4,5,3,1,3,1,2,5,4,2,6,1,5
"43",3,1,6,4,1,3,1,2,5,4,6,3,1,4,5,3
"44",6,3,3,6,4,2,2,2,4,6,6,5,4,2,5,1
"45",5,2,4,6,1,6,4,2,4,5,2,4,3,6,1,2
"46",2,4,1,3,6,2,5,3,3,6,2,5,4,1,2,6
"47",1,5,5,1,5,1,3,2,1,4,5,4,5,3,3,1
"48",3,5,4,1,6,3,6,5,4,1,3,1,6,1,3,4
"49",2,2,4,5,6,4,2,1,2,5,3,1,5,5,5,5
"50",5,1,5,2,3,3,2,4,1,1,1,3,4,2,2,1
"51",3,1,3,4,5,6,3,5,6,2,5,5,5,2,1,5
"52",3,6,5,3,5,6,2,4,3,4,6,3,6,6,5,6
"53",5,5,3,3,2,1,4,6,6,2,5,4,1,1,3,1
"54",4,4,4,4,3,1,1,5,6,6,4,1,3,3,6,6
"55",4,3,2,2,3,1,4,5,1,5,6,5,6,6,4,4
"56",4,2,5,6,3,1,6,1,4,4,5,3,5,1,2,6
"57",5,3,5,6,2,5,1,6,5,3,5,2,6,5,3,4
"58",6,5,4,4,1,3,5,3,2,2,6,6,5,3,5,6
"59",1,3,5,2,2,6,4,5,5,6,2,2,5,2,5,3
"60",6,3,2,5,3,6,6,4,5,1,2,3,1,4,4,6
