"","V1","V2","V3","V4"
"1",1,2,3,2
"2",3,2,1,2
"3",3,2,1,2
"4",2,2,3,1
"5",3,2,2,1
"6",3,3,3,3
"7",2,2,3,3
"8",2,3,2,1
"9",3,1,1,3
"10",3,3,2,2
"11",1,1,3,3
"12",3,2,3,2
"13",1,1,2,2
"14",3,2,3,2
"15",1,2,2,3
"16",1,3,3,1
"17",1,3,2,2
"18",2,1,3,2
"19",1,3,3,3
"20",1,2,2,1
"21",2,1,1,2
"22",1,1,3,1
"23",3,3,1,1
"24",2,3,1,2
"25",2,1,2,1
"26",2,2,1,1
"27",2,3,1,2
"28",3,3,1,3
"29",1,3,1,3
"30",2,3,2,1
"31",2,3,2,3
"32",2,1,2,3
"33",3,3,3,1
"34",3,1,3,1
"35",1,2,2,1
"36",1,3,1,1
"37",2,2,1,3
"38",3,2,2,3
"39",2,2,3,3
"40",1,2,1,2
"41",3,1,1,1
"42",3,1,2,2
"43",1,1,1,1
"44",1,1,2,2
"45",2,1,2,3
"46",1,1,1,3
"47",2,3,3,2
"48",3,1,3,3
