"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",6,6,2,2,4,4,4,4,4,1,5,2,6,2,3,1,1,2,4,1
"2",1,5,6,2,2,2,6,5,3,1,4,4,4,3,6,5,1,3,3,1
"3",2,1,3,3,4,4,1,1,1,6,2,4,4,2,6,6,2,3,4,6
"4",5,4,1,5,2,1,1,6,1,6,3,5,4,3,3,2,5,2,4,2
"5",1,2,1,5,4,6,4,5,4,1,1,1,4,3,5,4,4,2,6,5
"6",6,1,1,2,6,4,3,3,3,5,6,3,3,3,1,2,6,6,3,5
"7",1,5,2,5,5,4,2,1,3,5,4,5,5,5,3,1,2,6,6,4
"8",1,6,4,4,1,1,2,6,6,3,4,4,2,3,1,4,1,5,4,5
"9",3,3,6,1,6,1,3,2,2,4,1,3,6,3,3,6,4,6,5,2
"10",6,3,6,4,5,1,2,4,2,1,3,6,1,4,6,3,3,4,6,6
"11",3,6,1,2,4,1,5,6,2,5,6,3,1,4,4,6,2,4,2,3
"12",2,1,5,5,5,1,6,5,4,6,5,1,5,1,2,3,3,4,4,4
"13",5,1,4,3,4,2,6,3,3,3,1,4,1,5,1,1,3,1,5,1
"14",3,3,3,3,5,5,3,6,6,1,6,5,4,6,1,6,5,4,5,2
"15",2,6,5,5,1,4,3,3,6,2,2,6,3,4,4,6,3,2,6,1
"16",5,6,5,1,3,2,1,2,4,3,6,6,4,3,1,2,2,5,2,3
"17",5,6,6,3,3,5,5,5,2,6,2,4,5,6,5,3,5,5,5,5
"18",5,4,4,3,6,3,1,5,6,6,1,2,5,4,2,5,2,4,2,1
"19",4,2,6,4,6,5,2,5,1,3,5,4,3,1,4,1,4,5,1,1
"20",3,3,5,1,6,6,4,2,5,6,5,5,2,5,6,2,2,2,4,3
"21",6,2,4,2,5,5,6,1,1,3,4,1,5,4,5,4,5,2,2,2
"22",4,1,5,5,2,6,3,1,6,2,3,3,6,3,6,1,6,4,4,3
"23",5,4,2,6,6,3,6,3,1,2,5,2,3,3,5,6,1,5,5,4
"24",4,5,1,1,2,4,2,1,1,1,1,4,2,5,4,4,6,4,3,2
"25",6,3,4,6,2,5,1,3,5,4,5,5,6,1,4,4,1,4,5,6
"26",1,1,4,6,3,2,2,3,4,6,3,4,2,5,5,6,5,6,1,4
"27",6,5,6,4,4,3,4,1,6,6,6,4,1,2,2,4,5,3,6,3
"28",4,2,3,2,3,2,5,1,6,1,4,2,2,1,4,2,2,6,5,5
"29",2,4,1,4,4,5,6,4,5,4,1,6,3,1,6,2,3,6,2,2
"30",3,3,2,4,2,5,3,2,2,6,3,1,2,1,1,3,1,1,2,2
"31",3,2,4,5,3,3,3,6,2,4,6,3,6,6,5,3,1,1,6,1
"32",5,3,6,4,5,4,6,6,5,4,3,2,2,3,4,6,6,1,2,6
"33",5,2,2,4,1,1,4,1,4,5,5,6,4,6,5,5,4,5,3,1
"34",4,6,3,6,6,5,1,4,4,3,1,3,1,6,6,5,4,1,4,3
"35",4,5,2,1,5,2,3,5,5,5,4,6,6,1,5,5,4,1,3,5
"36",3,1,6,2,1,3,2,4,5,1,1,5,5,2,3,3,5,1,2,4
"37",1,2,1,6,5,2,1,2,5,2,6,3,3,2,2,4,3,2,3,2
"38",4,1,1,3,6,1,5,3,6,2,3,5,6,5,4,3,1,3,1,3
"39",4,6,3,6,6,3,5,1,2,4,2,5,3,2,1,3,4,2,1,5
"40",2,5,6,6,4,6,4,4,3,5,4,5,6,4,1,4,6,3,1,1
"41",1,2,6,6,1,4,5,3,1,4,2,2,4,6,1,2,2,4,3,3
"42",2,2,3,1,4,3,4,6,1,2,3,6,6,4,2,1,3,6,3,6
"43",1,5,3,3,2,5,6,4,6,6,5,3,4,5,3,1,4,2,1,6
"44",5,5,5,5,1,2,3,2,3,5,1,2,1,2,5,1,2,3,3,5
"45",1,3,5,3,3,4,5,2,1,3,6,6,1,1,3,5,6,1,4,4
"46",1,6,3,3,6,1,4,3,4,4,2,1,4,2,5,1,6,4,6,2
"47",2,4,5,2,5,5,4,1,4,2,2,3,1,6,3,4,1,5,1,6
"48",3,6,1,4,3,3,6,2,5,3,2,1,6,5,2,5,5,5,4,6
"49",3,5,3,3,1,6,2,3,2,3,6,1,5,2,6,5,3,6,1,4
"50",2,4,4,4,4,1,1,2,3,1,5,2,5,6,4,2,6,1,2,5
"51",6,3,2,1,3,3,2,6,6,4,2,1,3,6,6,2,3,3,1,4
"52",4,2,4,2,2,6,6,6,3,5,2,6,3,2,3,4,1,6,6,3
"53",4,4,5,2,2,2,2,4,1,5,5,1,3,5,1,5,4,2,6,6
"54",2,5,4,1,5,6,1,5,2,2,3,2,2,1,2,2,5,3,5,4
"55",6,4,5,6,3,6,5,6,5,2,4,1,1,5,3,3,4,6,3,2
"56",3,4,2,6,1,3,5,5,3,3,6,5,2,4,6,1,6,3,5,6
"57",6,3,3,5,2,2,4,5,3,2,1,3,5,1,2,6,6,5,1,3
"58",2,1,2,1,1,4,1,4,5,5,4,2,1,4,4,3,5,5,5,1
"59",5,1,2,5,3,6,3,4,2,1,4,6,2,6,2,5,2,3,2,5
"60",6,4,1,1,1,6,5,2,4,4,3,4,5,4,2,6,3,1,6,4
