"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",3,5,4,1,4,3,6,6,1,2,3,2,1,2,4,1,6,1,5,1,2,1,4,2,3,4,3
"2",4,4,1,4,5,5,1,5,6,2,1,4,1,1,2,5,5,4,3,2,3,6,5,2,6,2,4
"3",3,1,2,3,6,1,6,4,2,3,2,5,6,4,3,3,1,6,3,6,2,1,2,2,4,1,4
"4",5,5,2,3,6,4,2,6,3,2,3,5,5,6,6,6,2,3,2,4,2,2,6,3,1,5,5
"5",6,1,3,4,1,4,4,6,5,5,4,5,5,1,3,3,6,3,1,1,1,4,1,2,4,4,1
"6",5,2,5,2,6,6,3,6,2,6,2,3,2,5,3,2,6,3,4,3,3,4,2,1,2,6,6
"7",4,6,6,3,3,3,3,1,4,5,1,6,1,3,3,1,1,4,1,3,1,3,2,5,1,2,5
"8",4,6,1,6,6,4,6,6,2,4,1,3,3,3,5,4,2,5,2,1,6,5,1,4,5,3,3
"9",4,4,3,4,3,3,6,5,6,5,5,2,4,4,6,1,5,2,3,6,5,6,2,6,1,6,5
"10",1,2,1,5,1,3,3,5,3,2,6,1,6,2,3,6,2,4,4,6,1,4,3,5,3,3,6
"11",6,3,1,1,1,3,1,4,5,5,3,5,3,5,5,3,3,1,4,1,3,2,5,6,6,3,6
"12",6,5,5,4,1,6,6,1,3,3,4,1,2,5,4,5,4,2,2,3,2,5,2,6,6,3,2
"13",2,1,3,6,5,5,5,6,5,1,3,3,5,4,1,5,3,1,5,4,4,5,2,5,2,5,1
"14",2,4,6,3,4,6,3,3,5,2,1,1,3,4,6,3,5,6,1,2,3,1,3,5,5,6,1
"15",1,6,2,1,5,2,4,5,3,4,2,4,1,5,5,4,4,3,6,4,1,6,3,6,5,1,5
"16",2,5,1,2,1,1,5,4,4,3,5,6,3,6,2,2,5,5,5,2,2,5,1,4,2,5,3
"17",2,3,3,4,1,4,1,3,1,4,2,2,1,6,3,3,1,6,6,5,4,5,5,4,1,2,1
"18",6,5,6,5,1,2,2,3,2,6,1,4,6,6,6,3,5,2,4,6,4,5,3,2,3,4,3
"19",6,4,5,1,3,5,5,5,4,3,5,3,6,4,5,6,4,6,6,1,5,3,4,2,1,2,1
"20",2,4,3,2,6,4,2,1,2,1,5,3,2,1,6,5,1,4,4,1,4,2,2,6,3,1,4
"21",5,4,4,2,3,2,1,1,5,6,6,3,4,4,1,5,3,6,1,6,2,4,2,4,6,1,3
"22",3,1,5,1,1,1,1,5,3,1,1,2,4,3,1,1,4,3,2,4,4,2,2,3,2,2,2
"23",4,3,4,5,5,1,1,5,4,3,4,6,2,2,6,4,1,2,6,6,2,4,1,3,5,5,1
"24",1,2,4,1,2,5,4,2,2,1,2,6,4,2,6,6,5,2,3,3,1,3,5,4,6,5,3
"25",5,2,2,5,2,2,4,1,6,2,3,1,2,1,2,3,4,6,6,3,5,2,2,3,1,3,5
"26",2,3,3,6,4,6,1,2,6,5,6,4,6,1,5,2,6,3,5,3,2,1,3,4,2,3,2
"27",3,1,5,1,2,6,2,5,6,5,4,6,2,2,5,4,2,6,1,4,6,5,4,4,3,4,5
"28",5,5,1,5,6,3,3,2,1,1,4,2,4,5,2,2,5,4,4,5,1,3,4,1,5,1,1
"29",4,6,6,6,1,5,1,1,3,2,6,6,3,4,3,4,4,4,5,3,6,1,5,2,3,6,4
"30",4,1,4,5,3,5,2,5,2,4,4,3,4,6,1,1,3,5,6,2,1,1,6,6,4,5,5
"31",2,2,6,3,2,4,6,6,4,4,4,4,2,6,2,6,6,2,4,6,5,1,4,3,6,1,4
"32",5,3,4,1,5,4,3,3,6,2,6,6,4,6,4,1,2,1,4,2,6,6,3,1,4,2,2
"33",5,3,2,1,6,1,5,3,5,5,6,2,5,3,2,6,6,4,2,2,4,1,5,6,4,4,3
"34",4,3,1,2,4,6,5,1,4,1,2,4,6,6,3,3,5,2,1,5,6,4,6,4,3,2,6
"35",6,6,4,6,3,1,4,6,1,4,4,6,4,1,4,5,5,6,3,4,4,1,3,5,2,2,6
"36",1,6,2,5,2,6,3,4,5,6,4,2,3,4,1,4,1,2,3,2,1,2,4,1,1,2,3
"37",2,5,5,4,6,5,5,3,3,6,5,6,5,2,1,3,3,1,6,4,4,2,1,3,5,2,6
"38",4,2,1,3,2,2,5,1,1,4,5,4,3,1,5,4,2,1,1,5,3,2,3,1,2,6,2
"39",3,6,6,2,5,4,3,4,2,3,6,5,2,1,1,4,5,1,2,5,3,4,6,5,1,3,1
"40",3,3,3,5,4,4,6,2,1,6,3,5,3,5,1,6,4,5,1,1,2,6,4,3,2,6,6
"41",6,2,6,5,6,2,6,3,5,1,6,4,1,3,4,3,3,5,4,4,1,5,5,3,1,6,3
"42",4,6,5,3,2,4,2,3,5,1,3,2,5,3,5,5,6,5,6,5,2,6,1,1,4,3,6
"43",3,1,1,3,6,3,3,1,3,6,3,5,6,2,4,1,4,5,6,2,5,4,4,5,6,6,2
"44",5,2,4,5,5,5,4,4,4,6,3,1,1,2,6,2,4,4,2,6,6,2,6,5,3,1,2
"45",3,6,1,2,3,3,4,2,6,6,2,3,1,5,4,6,2,3,3,4,6,1,1,2,3,5,1
"46",5,3,6,6,4,3,2,4,4,4,2,2,6,2,2,6,3,1,2,1,5,3,3,1,6,6,5
"47",5,4,5,6,2,2,5,3,3,2,2,5,5,2,2,2,2,3,3,1,3,6,6,6,3,1,1
"48",6,5,2,2,1,6,6,4,6,3,2,3,4,1,4,2,1,4,5,5,4,3,6,5,5,6,4
"49",1,1,4,4,2,1,6,2,5,4,1,4,4,3,6,4,3,3,6,2,5,4,5,1,2,1,6
"50",1,3,3,6,3,6,5,4,2,2,6,5,1,5,5,1,3,5,2,5,4,3,1,1,6,4,4
"51",1,6,5,4,4,2,2,6,6,1,5,4,6,5,3,2,1,5,2,3,5,3,4,6,5,4,2
"52",2,1,2,6,4,1,1,2,4,3,5,3,2,4,5,1,6,2,1,4,3,5,6,2,5,3,5
"53",1,5,4,1,5,5,4,2,4,4,4,1,6,1,2,1,2,6,3,6,3,5,4,2,2,5,5
"54",1,2,6,4,5,2,1,2,1,3,3,2,5,6,4,4,6,4,3,1,6,3,1,5,1,4,4
"55",6,2,2,2,4,6,2,2,1,3,1,5,3,3,2,6,3,3,5,6,5,6,1,6,4,4,3
"56",3,4,5,6,5,1,5,1,6,5,1,1,3,6,3,5,2,1,5,5,1,3,5,4,4,4,4
"57",6,4,3,3,3,1,4,3,2,1,5,1,1,4,1,2,1,2,5,2,6,4,3,4,6,5,6
"58",1,4,3,4,3,2,3,5,3,5,1,6,2,3,1,5,6,6,4,5,6,2,6,1,4,5,2
