"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",3,1,3,1,4,4,1,2,1,2,1,3,4,5,1,3,2,3,3,4,2,6,1,5,3,2,1,4,3,1,1,1,1
"2",4,1,1,6,5,3,6,3,3,1,3,5,6,3,2,1,5,2,4,2,6,1,1,2,4,2,4,2,6,5,4,3,2
"3",5,3,2,2,1,6,1,6,4,3,3,3,5,1,6,3,1,3,4,5,3,2,6,5,6,6,3,5,4,3,6,1,2
"4",1,3,3,5,6,1,1,3,4,2,4,2,5,5,4,3,4,6,6,3,3,4,6,4,1,3,5,1,1,6,6,1,2
"5",2,5,4,4,3,5,2,6,1,5,3,4,2,6,3,3,6,6,4,6,6,4,1,6,5,1,4,3,1,6,2,3,2
"6",2,5,6,4,2,2,5,4,6,3,4,5,5,1,5,4,3,1,3,6,3,2,4,5,5,2,6,1,4,6,2,6,1
"7",3,4,2,1,4,2,5,4,6,4,2,4,2,6,1,2,2,6,3,5,6,2,2,1,6,2,5,5,4,5,6,5,4
"8",4,4,1,6,2,4,5,1,6,4,4,4,1,3,4,2,1,4,5,2,1,5,4,3,6,1,6,2,1,3,1,2,5
"9",2,6,4,2,4,3,6,4,5,6,2,3,1,2,2,2,1,1,4,2,3,3,4,1,1,1,2,1,5,4,3,2,1
"10",2,2,4,2,3,4,1,1,2,6,6,5,6,1,4,1,2,6,1,1,4,3,3,1,3,4,6,4,2,4,5,3,2
"11",1,6,5,6,5,5,6,3,3,2,3,1,2,1,5,6,2,5,5,4,5,3,5,3,5,3,5,2,3,2,6,4,6
"12",3,5,5,6,5,2,1,6,4,5,5,3,5,5,3,2,1,3,2,3,5,2,1,3,2,6,6,1,5,1,4,5,4
"13",2,1,5,1,2,6,3,2,6,4,1,2,4,3,3,1,5,1,6,6,2,4,5,3,5,3,6,6,2,2,4,4,3
"14",4,1,3,4,4,2,2,6,3,6,4,2,1,1,4,3,6,5,5,5,1,3,6,6,4,5,2,6,6,4,2,5,5
"15",6,2,3,4,1,2,5,4,6,3,5,2,1,3,4,6,4,1,1,1,4,3,1,1,3,6,2,3,4,2,1,1,3
"16",1,3,5,3,1,3,6,1,6,2,2,4,5,2,4,3,5,4,2,4,4,5,2,6,5,6,1,4,6,5,5,5,6
"17",4,2,4,6,1,4,6,4,5,1,1,6,3,5,3,1,3,6,1,5,2,5,4,4,1,5,3,6,3,1,3,6,3
"18",1,3,6,1,6,3,4,5,2,4,6,4,1,3,6,4,5,2,2,4,2,1,4,4,1,6,4,2,1,2,2,4,1
"19",5,6,3,2,6,1,5,6,4,1,3,5,1,5,5,2,3,1,5,3,4,6,3,6,5,4,6,4,2,1,4,2,3
"20",3,1,6,4,5,1,1,5,5,3,3,1,4,4,3,4,6,2,3,6,5,6,3,1,6,4,3,2,6,2,5,2,6
"21",6,1,1,2,3,2,3,1,4,5,2,1,3,3,5,6,3,3,4,3,5,1,3,3,2,2,2,6,1,6,2,5,1
"22",4,5,4,2,3,2,4,1,3,4,2,5,5,4,2,6,4,2,2,6,6,5,5,6,1,1,2,2,2,2,6,1,4
"23",5,4,1,1,1,2,3,6,3,2,1,1,2,4,4,5,5,5,2,4,1,5,5,3,4,2,6,1,5,3,5,3,1
"24",3,5,1,4,4,5,3,2,5,3,6,1,4,5,6,2,1,1,1,4,6,5,6,1,4,5,2,4,2,6,3,4,2
"25",1,6,2,5,2,3,2,5,2,2,4,5,2,2,2,2,4,1,4,6,3,1,2,3,3,4,1,6,1,2,6,5,3
"26",2,2,1,5,5,4,6,6,6,4,1,3,4,6,5,5,4,2,6,5,4,1,2,6,1,4,3,5,3,5,1,3,4
"27",4,2,6,5,1,1,5,5,1,5,6,3,4,3,1,3,3,4,6,2,5,5,3,4,4,1,4,6,2,2,6,6,2
"28",6,3,6,3,3,3,6,3,2,5,4,3,3,4,6,1,2,1,1,6,1,4,1,5,2,2,5,5,5,4,6,2,5
"29",5,6,5,6,4,1,3,3,2,4,2,3,5,1,1,2,5,5,2,5,4,6,6,2,3,5,5,5,3,5,1,3,1
"30",4,1,5,6,2,4,2,2,1,3,2,5,1,2,4,4,2,3,6,4,1,2,2,1,1,3,5,3,5,6,5,6,4
"31",6,2,3,2,5,5,4,6,5,1,4,5,4,4,1,3,6,2,1,4,2,3,5,1,4,2,6,3,1,6,3,5,6
"32",5,5,5,3,6,6,3,4,1,6,4,6,5,2,4,4,1,2,6,4,6,4,4,2,5,3,1,5,6,1,1,3,3
"33",2,2,2,6,6,6,4,3,2,2,6,5,3,5,5,5,3,5,2,6,2,2,3,2,6,1,3,4,5,4,1,1,3
"34",6,5,4,3,2,5,6,5,5,5,2,4,6,4,1,5,6,6,5,3,3,1,3,4,3,5,6,6,6,3,3,1,2
"35",3,4,3,4,1,2,2,2,5,6,5,6,6,4,6,3,5,4,6,5,5,1,5,2,2,1,4,5,3,2,2,2,6
"36",5,6,5,3,6,1,2,1,5,6,3,6,2,6,5,6,5,3,1,2,2,4,5,3,3,4,3,4,4,5,6,6,3
"37",4,6,6,3,2,4,2,3,6,1,5,2,3,6,6,4,3,6,3,2,4,1,3,6,2,1,1,2,6,3,5,4,2
"38",3,3,5,6,3,6,4,6,5,4,5,6,2,1,5,2,5,5,1,3,6,6,6,4,2,3,1,3,4,3,5,1,5
"39",6,3,4,5,3,3,1,2,4,1,6,3,1,4,1,6,1,5,6,6,4,6,4,2,5,1,2,4,5,4,3,6,4
"40",6,5,1,3,5,4,5,1,2,2,6,2,4,2,5,3,4,6,4,6,1,6,2,2,2,5,4,1,4,1,3,3,5
"41",3,4,5,2,5,1,4,2,4,3,5,6,3,3,2,5,5,5,6,1,1,3,1,5,6,5,1,5,3,6,4,2,1
"42",1,6,2,1,1,5,2,4,3,4,6,6,5,5,3,2,4,3,5,1,1,5,3,6,4,3,3,1,5,5,2,4,6
"43",2,4,3,5,3,3,4,3,1,5,2,2,3,6,6,1,6,3,5,1,3,5,2,1,6,6,4,3,6,3,2,6,1
"44",1,1,4,4,6,2,6,5,2,4,5,2,4,6,2,6,1,2,4,1,2,6,6,5,3,3,5,6,5,3,4,3,4
"45",3,4,6,5,2,5,3,4,2,1,1,4,6,6,4,6,3,1,6,3,2,4,6,2,4,6,1,3,1,5,4,2,5
"46",5,3,6,2,3,4,1,4,3,2,6,1,3,6,2,1,6,4,5,1,5,2,5,3,1,5,4,4,2,4,1,1,5
"47",1,2,2,3,2,6,5,2,3,6,4,5,2,5,1,5,4,4,4,5,5,4,6,1,2,6,3,2,6,1,4,4,1
"48",5,3,6,6,1,6,4,2,4,6,3,1,6,4,2,6,2,4,1,3,1,3,2,6,4,4,4,1,3,4,1,5,2
"49",1,1,3,3,3,1,2,5,4,5,1,4,4,1,6,6,2,6,1,2,1,2,2,3,6,3,3,3,2,1,3,2,4
"50",6,2,2,5,4,5,1,4,2,5,1,6,3,2,5,4,4,2,3,1,6,6,4,5,6,5,5,1,2,4,5,5,3
"51",4,3,2,1,5,6,5,5,1,6,3,1,1,4,3,4,2,4,2,2,3,5,3,2,1,5,1,5,1,6,4,3,6
"52",4,4,2,5,6,6,1,1,5,3,3,4,2,1,3,5,6,1,3,1,4,4,2,4,1,2,5,5,5,1,2,4,6
"53",3,5,1,2,2,1,2,5,1,1,1,6,3,3,2,5,1,5,3,3,4,3,6,4,2,4,4,2,6,6,1,4,5
"54",5,4,4,4,6,6,3,3,6,6,5,2,2,2,1,1,3,3,5,5,3,1,1,4,4,4,2,1,3,5,6,1,6
"55",2,6,3,3,1,4,4,1,1,1,4,1,1,2,1,4,3,2,2,2,6,2,5,5,5,6,5,6,4,4,3,2,4
"56",2,5,4,1,4,5,5,6,3,1,5,2,6,2,6,5,6,3,3,3,5,6,1,2,2,2,3,6,3,5,4,6,3
"57",6,6,1,5,4,1,6,2,1,5,6,3,6,6,3,4,6,4,3,4,3,1,4,5,6,3,1,3,2,3,5,4,5
"58",5,2,2,1,4,3,3,3,6,2,5,6,6,1,3,5,2,4,5,5,6,4,1,5,3,6,6,2,1,3,3,6,4
"59",6,1,6,1,6,3,4,1,3,3,1,4,5,5,6,1,1,5,4,2,5,3,5,4,5,4,2,3,4,2,2,5,6
"60",1,4,1,4,5,5,3,5,4,3,2,1,6,3,2,1,4,6,2,1,2,2,4,6,3,1,2,4,4,1,5,6,5
