"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",2,2,3,1,4,1,2,6,3,6,3,6,3,3,2,5,6,3,5,1,4,2,6,6,2,6,5,3,4
"2",3,1,3,1,2,1,5,3,3,2,3,4,6,1,1,4,1,5,1,3,6,4,3,1,3,4,6,5,6
"3",1,1,4,5,5,5,1,1,1,5,2,4,1,4,3,6,4,4,1,4,5,1,6,4,3,5,3,1,3
"4",6,5,2,2,5,1,4,1,1,3,3,6,1,3,2,2,3,3,2,4,1,4,5,1,2,1,2,3,5
"5",1,5,4,2,1,2,3,3,3,5,4,3,6,5,1,6,5,6,4,3,1,6,6,5,6,3,1,4,3
"6",1,4,3,1,4,6,6,1,6,3,4,1,4,5,5,5,6,3,6,4,6,3,2,4,5,5,2,5,2
"7",2,3,2,3,2,1,6,2,2,5,5,6,4,4,6,1,4,5,2,6,2,5,2,4,4,6,6,4,2
"8",6,1,4,3,1,3,1,6,4,3,6,2,5,6,3,3,2,2,6,5,4,5,3,1,6,6,2,3,3
"9",4,5,5,5,1,3,6,6,3,6,5,4,2,3,6,4,6,4,3,3,6,6,5,1,2,4,3,6,1
"10",6,5,6,2,4,6,5,6,2,1,3,5,1,6,4,5,4,5,5,6,3,1,1,3,4,4,3,2,3
"11",2,5,1,1,4,2,6,4,4,1,6,2,1,2,3,3,4,1,2,5,5,6,5,2,6,4,5,3,4
"12",1,3,5,3,6,3,2,5,6,3,5,5,1,2,3,6,4,4,5,6,3,6,3,4,1,2,6,2,6
"13",3,2,5,6,4,1,2,2,5,1,6,3,3,5,5,2,6,3,1,5,1,3,4,3,6,1,4,1,4
"14",5,1,1,1,6,5,4,5,5,6,4,5,5,5,3,2,6,4,3,3,2,5,1,2,3,3,1,1,3
"15",6,1,1,5,2,5,3,1,3,4,5,2,6,3,6,2,4,3,4,1,6,1,5,4,6,3,3,4,6
"16",1,1,5,6,2,5,2,3,3,1,4,5,4,3,1,2,1,3,6,5,3,2,2,2,2,3,5,5,1
"17",2,6,1,5,1,3,3,1,2,1,1,5,5,5,4,6,2,3,4,4,3,6,1,2,2,5,4,4,5
"18",3,6,2,3,3,6,1,4,1,6,6,3,3,1,4,5,2,1,6,2,2,4,6,4,3,2,5,6,4
"19",6,3,5,1,1,4,2,2,2,5,5,4,4,5,4,4,3,1,1,2,6,5,1,5,1,2,2,3,5
"20",6,4,6,5,4,1,2,5,1,3,6,4,6,5,3,1,1,4,2,1,4,3,2,3,3,1,4,6,2
"21",1,4,4,2,3,4,5,5,1,2,6,5,6,4,5,1,5,1,4,2,4,2,4,2,4,5,1,1,6
"22",5,1,2,4,5,4,1,1,4,2,1,4,6,2,4,4,5,1,5,3,1,3,2,6,5,4,5,2,1
"23",2,6,2,4,6,2,4,5,6,5,5,4,6,4,4,4,2,2,5,5,1,1,4,2,1,6,3,5,2
"24",4,1,6,4,5,4,5,6,1,1,5,1,2,4,2,4,3,1,3,4,1,4,3,6,4,6,5,6,5
"25",4,1,1,2,3,1,1,2,6,4,2,2,3,4,2,4,2,6,4,6,4,5,2,5,4,1,3,6,1
"26",5,4,1,6,2,4,4,2,4,3,5,4,1,4,1,5,1,6,6,1,3,4,5,3,5,6,6,1,4
"27",5,5,6,1,2,1,3,6,4,2,2,2,5,2,5,6,6,2,2,4,3,2,3,4,2,2,1,5,4
"28",5,1,4,6,6,2,5,4,4,1,2,5,3,5,5,3,2,5,6,2,5,3,6,5,1,3,1,4,5
"29",3,4,1,5,5,2,1,3,3,2,3,1,6,1,5,1,5,5,3,6,3,4,6,3,1,6,2,3,2
"30",6,2,3,4,2,4,6,6,6,5,2,5,2,2,5,1,2,1,4,5,3,5,6,3,6,2,4,5,3
"31",3,6,6,4,2,1,3,2,6,6,3,5,1,6,4,2,3,3,3,2,5,4,4,6,5,5,1,2,1
"32",3,5,5,3,5,3,6,4,5,4,2,6,5,4,2,6,2,1,3,2,6,2,1,3,6,2,6,3,1
"33",3,5,3,5,1,4,6,3,6,4,6,2,2,1,2,1,3,5,5,4,1,2,1,6,2,3,2,2,4
"34",1,3,1,6,3,2,1,4,4,4,4,6,2,6,1,3,4,1,2,3,3,1,1,4,5,4,2,6,6
"35",4,6,1,4,2,6,5,5,5,4,4,6,5,4,4,4,5,6,1,4,4,1,3,6,1,1,5,2,5
"36",5,3,2,6,3,3,4,5,1,4,1,2,3,2,4,6,4,6,1,2,1,2,3,1,5,5,1,5,2
"37",2,4,6,1,6,6,3,2,2,5,1,6,4,2,3,3,1,5,5,4,4,5,4,3,6,5,2,6,5
"38",1,4,2,3,1,6,3,6,3,6,1,2,3,5,2,3,1,3,2,5,6,3,4,3,1,1,4,1,2
"39",3,2,1,4,5,4,3,3,1,5,5,4,2,1,1,5,6,2,5,6,5,3,2,2,5,1,1,4,5
"40",2,3,6,6,2,2,4,5,1,5,2,1,5,3,5,4,4,4,5,5,5,4,1,6,6,3,6,1,4
"41",4,3,5,5,3,6,6,4,5,3,3,3,6,3,1,5,1,3,2,6,2,6,5,5,3,5,1,1,6
"42",6,4,4,6,5,1,5,2,5,6,4,1,2,1,6,6,2,2,4,3,4,5,2,3,3,5,5,3,6
"43",6,2,4,2,3,5,4,1,6,1,6,6,5,2,3,6,5,5,3,2,1,4,4,5,1,4,4,6,3
"44",4,6,5,3,6,2,5,1,3,4,1,2,3,3,1,1,5,2,6,1,4,5,2,2,1,4,3,1,3
"45",3,4,4,6,1,6,5,3,2,2,2,6,3,1,2,2,6,2,1,1,2,6,3,4,5,2,3,3,2
"46",1,2,2,3,4,5,3,5,5,3,1,4,2,1,6,2,3,6,2,1,5,6,1,6,2,4,3,5,4
"47",5,6,3,1,5,2,1,5,2,4,2,1,4,5,5,2,1,5,3,3,1,6,4,4,5,4,5,2,6
"48",2,2,2,3,3,3,5,3,2,2,4,1,1,6,6,5,1,2,1,1,3,3,5,5,2,3,2,2,1
"49",6,6,3,4,3,3,2,4,1,2,4,3,2,2,3,3,6,6,4,6,6,1,3,5,2,5,6,1,1
"50",3,3,6,1,3,4,3,2,6,3,1,1,2,6,3,2,4,1,4,3,2,1,6,1,1,3,6,4,2
"51",5,4,3,3,4,3,6,2,2,6,1,3,5,6,2,3,6,4,6,6,2,2,5,6,3,2,4,6,6
"52",5,3,6,2,6,5,4,4,4,6,6,3,4,1,1,1,3,2,1,4,5,2,6,5,4,6,4,4,1
"53",4,2,3,5,6,6,4,3,2,3,6,2,6,6,5,6,3,6,4,5,5,6,4,1,3,2,5,3,1
"54",4,2,5,2,1,6,1,4,4,5,3,1,1,4,4,1,5,6,5,2,2,3,1,2,3,6,4,4,6
"55",2,5,2,5,5,4,4,6,5,1,3,3,4,6,1,1,5,4,6,2,6,5,4,5,4,1,6,5,3
"56",2,6,5,6,4,5,1,6,6,2,4,1,5,3,2,5,3,5,2,1,4,3,6,1,5,3,3,4,5
"57",5,5,4,4,4,5,2,3,5,4,2,5,3,6,6,4,5,2,1,6,6,4,5,1,4,6,6,6,5
"58",1,2,6,4,6,3,6,1,4,6,3,3,4,2,6,3,2,6,3,1,2,1,3,1,4,1,4,2,4
"59",4,6,4,2,6,5,2,1,3,2,5,3,1,3,6,3,1,4,3,5,2,2,2,6,6,2,1,5,3
"60",4,3,3,2,1,2,2,4,5,1,1,6,4,1,6,5,3,4,6,3,5,1,5,2,4,1,2,2,2
