"","V1","V2","V3","V4"
"1",3,1,1,2
"2",1,3,4,4
"3",1,2,2,2
"4",2,2,1,3
"5",2,1,1,1
"6",1,4,1,1
"7",2,2,4,2
"8",4,4,3,4
"9",4,1,4,3
"10",3,4,1,3
"11",3,3,3,2
"12",4,2,1,1
"13",3,3,1,4
"14",3,4,2,1
"15",1,4,4,2
"16",2,3,2,1
"17",3,1,3,2
"18",4,2,4,2
"19",3,2,4,3
"20",4,3,3,3
"21",4,2,1,4
"22",2,3,4,3
"23",2,3,3,1
"24",3,4,4,4
"25",1,2,3,1
"26",1,1,3,3
"27",4,4,4,1
"28",3,3,4,1
"29",4,3,1,2
"30",4,1,3,1
"31",2,1,4,4
"32",1,4,3,3
"33",4,3,2,3
"34",1,3,1,2
"35",2,4,3,2
"36",4,4,2,2
"37",1,3,2,4
"38",2,4,1,3
"39",4,1,2,4
"40",2,2,3,4
"41",3,2,2,1
"42",1,1,1,4
"43",3,1,2,3
"44",1,1,4,1
"45",2,1,2,2
"46",1,2,2,3
"47",2,4,2,4
"48",3,2,3,4
