"","V1","V2","V3","V4"
"1",2,6,2,4
"2",2,2,5,2
"3",5,1,3,2
"4",6,6,4,2
"5",4,5,2,2
"6",1,4,6,3
"7",5,5,5,5
"8",4,3,4,1
"9",3,1,4,3
"10",2,2,1,3
"11",4,6,6,6
"12",4,3,1,4
"13",3,4,6,5
"14",6,3,3,6
"15",2,6,6,1
"16",5,5,2,2
"17",4,4,1,3
"18",5,2,5,5
"19",5,2,4,4
"20",5,3,1,4
"21",5,5,3,1
"22",6,1,4,6
"23",6,5,6,4
"24",2,2,5,6
"25",1,1,2,4
"26",6,1,2,3
"27",3,6,1,1
"28",1,3,6,6
"29",3,2,2,2
"30",6,6,1,5
"31",4,1,5,5
"32",6,2,1,1
"33",5,2,6,2
"34",2,5,4,5
"35",4,1,6,1
"36",4,4,4,6
"37",5,4,2,6
"38",1,1,3,1
"39",3,4,4,1
"40",2,4,2,5
"41",4,6,3,3
"42",3,3,5,2
"43",6,4,3,4
"44",1,3,4,3
"45",5,6,5,3
"46",3,3,3,5
"47",3,5,5,4
"48",1,6,4,4
"49",3,6,3,6
"50",1,5,5,2
"51",2,3,2,1
"52",6,4,5,1
"53",1,2,3,5
"54",4,2,2,5
"55",1,4,1,2
"56",6,3,6,3
"57",2,5,3,3
"58",1,5,1,6
"59",3,1,1,6
"60",2,1,6,4
