"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,3,2,1,2,3,2,4,1,1
"2",2,3,4,2,4,1,2,1,4,2
"3",2,1,2,4,1,4,4,3,2,3
"4",4,3,1,3,1,2,2,1,2,4
"5",3,3,4,4,4,4,1,3,1,3
"6",1,2,1,3,2,4,2,4,1,2
"7",1,1,2,2,1,1,1,2,1,2
"8",2,3,4,1,2,1,4,2,2,4
"9",1,1,3,2,2,4,4,1,3,2
"10",2,1,1,3,4,3,3,3,4,1
"11",3,4,4,3,4,2,4,1,3,3
"12",1,3,1,3,2,1,4,3,4,3
"13",1,2,1,4,4,2,2,2,3,3
"14",1,4,4,3,1,3,1,2,3,1
"15",4,4,1,1,2,2,4,3,2,2
"16",1,4,2,4,3,3,3,1,2,4
"17",2,2,3,3,3,4,1,2,4,4
"18",1,1,3,4,3,2,4,3,2,1
"19",3,2,4,4,1,3,3,1,2,2
"20",4,3,1,4,2,4,3,2,3,1
"21",4,1,4,1,3,4,2,2,2,3
"22",4,2,2,2,4,4,4,4,4,4
"23",3,2,2,1,1,2,4,1,4,1
"24",1,4,2,2,1,1,3,4,3,3
"25",1,3,2,1,4,4,2,2,2,1
"26",2,1,1,1,1,3,2,3,3,4
"27",4,1,4,3,2,2,2,4,3,3
"28",2,4,3,4,2,1,2,1,1,1
"29",3,4,2,1,3,1,1,3,3,4
"30",2,3,2,4,1,2,1,4,4,2
"31",4,3,3,3,3,1,4,2,1,1
"32",3,2,1,3,3,1,1,4,2,1
"33",2,4,1,2,4,3,4,2,1,2
"34",3,4,1,2,2,4,1,1,4,3
"35",3,1,3,4,2,1,2,2,4,4
"36",1,2,4,1,3,2,3,3,4,2
"37",2,2,3,1,3,3,1,1,1,3
"38",4,2,2,4,4,1,3,3,1,3
"39",3,4,3,2,1,4,3,3,1,4
"40",2,4,4,2,3,4,3,4,3,1
"41",4,3,3,1,1,3,3,2,4,3
"42",1,3,3,2,4,2,1,4,2,4
"43",4,1,2,3,4,3,1,1,3,2
"44",3,1,1,2,3,2,3,1,1,4
"45",4,4,3,4,3,3,2,4,4,2
"46",3,1,3,1,4,1,3,4,3,2
"47",2,2,4,3,2,3,4,4,1,4
"48",4,2,4,2,1,2,1,3,2,1
