"","V1","V2","V3"
"1",6,6,2
"2",3,2,2
"3",4,1,3
"4",4,4,6
"5",5,2,5
"6",6,2,1
"7",1,5,5
"8",6,3,3
"9",5,1,2
"10",4,4,4
"11",1,2,3
"12",5,2,6
"13",1,1,6
"14",1,3,4
"15",3,4,1
"16",6,4,4
"17",2,2,5
"18",4,5,1
"19",1,3,2
"20",2,2,2
"21",4,1,5
"22",2,1,1
"23",3,6,6
"24",4,6,4
"25",2,6,4
"26",5,5,3
"27",2,5,5
"28",1,6,1
"29",4,3,1
"30",5,4,1
"31",1,4,3
"32",2,4,6
"33",5,5,2
"34",3,6,3
"35",3,3,3
"36",6,5,6
"37",5,6,5
"38",6,1,4
"39",3,1,4
"40",2,5,2
"41",3,3,6
"42",6,3,5
