"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,3,2,2,1,4,4,2,1,6,2,6,1,4,3,4,2,2,2
"2",1,3,6,4,5,4,1,6,6,4,5,2,1,3,4,5,1,2,4
"3",6,6,3,3,1,3,6,6,2,4,1,1,2,2,4,1,4,4,3
"4",1,1,4,1,4,3,6,2,4,3,1,5,4,3,4,6,1,6,3
"5",5,3,3,2,5,1,5,2,3,2,3,2,3,1,6,5,2,1,5
"6",4,6,5,2,5,4,4,2,6,3,2,4,6,5,5,1,6,5,2
"7",6,3,1,1,3,2,5,3,2,1,3,6,6,3,2,2,6,4,4
"8",5,4,3,5,5,1,4,1,1,4,1,2,5,4,1,3,6,3,1
"9",2,2,5,4,5,1,1,2,6,3,6,6,4,4,1,4,4,4,6
"10",2,5,1,3,3,3,1,5,1,3,1,4,4,5,5,4,6,1,6
"11",2,5,2,1,1,6,1,1,3,2,4,2,3,3,5,2,4,3,1
"12",5,5,4,2,3,4,1,4,5,5,2,6,4,1,1,1,3,1,5
"13",1,1,1,6,5,2,3,1,2,4,2,4,2,3,5,2,3,5,5
"14",6,4,6,3,2,1,1,4,3,4,3,6,2,5,6,5,1,5,3
"15",1,4,3,3,1,6,3,3,5,1,5,5,6,6,4,6,3,3,5
"16",1,4,2,4,6,3,4,6,4,2,3,6,5,5,1,1,2,1,3
"17",4,5,4,4,2,4,6,2,1,5,6,1,3,4,6,5,6,5,5
"18",1,3,6,5,2,3,5,5,2,1,2,2,4,6,6,3,3,4,1
"19",4,6,5,3,6,3,6,1,2,2,4,5,2,6,2,5,3,3,6
"20",2,5,5,1,4,1,4,4,1,6,5,3,5,1,6,1,3,3,3
"21",3,6,6,4,5,6,5,4,3,1,2,6,2,1,4,4,6,2,3
"22",5,5,2,5,4,2,4,5,5,6,4,6,1,3,5,6,5,4,6
"23",6,2,3,1,2,3,2,1,5,4,5,3,5,6,4,1,2,4,6
"24",5,5,3,1,5,4,2,5,1,1,6,4,1,4,3,3,2,6,2
"25",1,2,4,1,6,6,4,4,1,4,1,3,3,2,2,5,5,3,6
"26",3,1,5,2,3,5,4,6,4,2,6,5,2,2,6,2,3,5,6
"27",4,4,1,4,4,6,2,2,3,6,3,3,1,1,1,3,1,5,6
"28",6,3,6,4,5,4,3,6,3,6,1,5,6,6,2,4,4,6,5
"29",3,2,5,1,1,1,3,6,4,6,3,1,3,5,3,3,6,2,5
"30",5,5,2,6,1,5,4,4,6,2,1,2,4,4,3,4,1,6,6
"31",6,1,1,3,3,6,3,5,4,6,2,1,6,3,6,4,2,3,2
"32",3,1,4,6,3,5,5,1,6,6,4,4,5,5,6,5,4,1,3
"33",2,1,2,5,5,4,6,5,5,3,5,2,6,1,3,3,6,3,5
"34",4,3,5,1,2,5,6,5,5,3,3,4,1,4,1,6,4,1,1
"35",5,2,6,3,6,3,5,3,6,6,4,2,3,2,2,2,2,5,1
"36",4,1,4,2,6,2,1,3,2,5,5,5,2,5,4,3,5,1,1
"37",2,6,3,2,3,6,5,6,2,4,4,2,5,5,1,6,2,5,4
"38",1,6,5,5,2,5,2,5,3,6,5,5,4,3,2,2,6,4,2
"39",1,4,6,2,3,2,3,1,5,2,4,1,2,2,1,4,5,6,3
"40",4,1,4,6,1,2,3,6,1,1,4,4,3,1,1,4,1,3,4
"41",5,1,2,5,3,4,1,2,4,1,2,3,2,6,2,5,6,4,2
"42",6,3,4,6,2,6,5,1,4,3,5,6,3,1,3,3,3,6,1
"43",2,2,1,4,4,1,4,4,3,2,5,1,1,5,4,6,4,6,2
"44",2,6,5,6,4,2,2,3,5,5,1,3,3,6,3,6,2,3,1
"45",2,5,6,5,1,2,6,2,4,5,3,4,6,2,4,3,2,2,6
"46",4,2,3,5,2,3,2,2,6,2,1,5,1,2,6,2,5,2,4
"47",5,2,6,4,1,5,2,3,1,3,3,3,5,1,5,6,5,6,4
"48",6,6,1,2,6,5,3,1,4,5,5,4,4,2,3,6,5,2,4
"49",3,1,2,3,1,2,5,4,3,5,6,4,4,6,1,1,5,6,4
"50",3,2,5,3,4,5,2,1,3,1,1,1,6,4,2,1,1,2,4
"51",5,2,1,5,4,5,6,4,1,4,4,5,4,6,5,2,1,2,2
"52",6,4,4,3,4,2,6,6,6,1,6,3,5,4,5,4,5,2,2
"53",3,6,1,4,2,1,5,3,5,3,6,3,2,3,2,2,1,1,2
"54",3,4,2,1,6,5,6,3,6,5,2,1,1,6,5,3,3,4,4
"55",4,6,4,6,6,1,1,5,4,1,4,1,5,3,4,2,4,5,5
"56",6,4,6,6,4,6,3,3,2,3,6,2,1,5,3,1,4,1,5
"57",2,3,3,6,6,6,2,6,5,5,3,3,3,4,6,1,5,6,3
"58",3,5,3,5,6,4,3,3,2,2,6,6,6,2,5,5,1,4,1
"59",4,3,2,6,3,3,1,4,2,5,6,1,6,2,2,6,3,1,3
"60",3,4,1,2,2,1,2,5,6,4,2,5,5,1,3,5,4,5,1
