"","V1","V2"
"1",3,3
"2",6,4
"3",2,3
"4",4,2
"5",6,2
"6",6,4
"7",3,1
"8",6,5
"9",2,5
"10",1,4
"11",2,4
"12",2,6
"13",2,1
"14",6,5
"15",6,6
"16",5,1
"17",1,1
"18",6,1
"19",5,3
"20",2,4
"21",1,2
"22",4,1
"23",4,3
"24",5,3
"25",1,5
"26",3,4
"27",3,5
"28",1,3
"29",5,5
"30",2,2
"31",5,6
"32",5,1
"33",3,5
"34",5,2
"35",6,3
"36",1,1
"37",5,4
"38",1,5
"39",3,4
"40",2,6
"41",3,6
"42",4,3
"43",1,6
"44",6,2
"45",4,1
"46",4,6
"47",1,3
"48",3,2
"49",5,6
"50",4,5
"51",4,6
"52",2,2
"53",4,4
"54",3,2
