"","V1","V2","V3"
"1",2,1,1
"2",3,3,1
"3",1,5,5
"4",2,4,2
"5",4,4,2
"6",1,1,5
"7",4,1,2
"8",5,2,3
"9",2,3,5
"10",1,3,2
"11",4,4,4
"12",4,5,1
"13",5,3,3
"14",3,5,3
"15",2,2,5
"16",2,5,4
"17",1,3,3
"18",3,5,2
"19",4,5,3
"20",1,2,1
"21",5,1,1
"22",2,1,4
"23",1,4,3
"24",3,1,3
"25",1,5,1
"26",2,5,3
"27",3,4,5
"28",5,4,5
"29",4,2,2
"30",2,4,1
"31",3,3,5
"32",2,4,2
"33",1,2,3
"34",5,5,2
"35",4,2,4
"36",1,3,4
"37",5,3,2
"38",4,4,4
"39",5,1,4
"40",3,2,1
"41",4,2,1
"42",3,3,1
"43",5,2,5
"44",5,4,1
"45",5,5,4
"46",2,2,2
"47",5,3,3
"48",1,1,2
"49",2,2,4
"50",3,1,4
"51",4,1,5
"52",1,4,4
"53",4,3,5
"54",3,1,3
"55",3,5,5
