"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,3,1,2,2,1,1,2,3,3
"2",3,1,3,2,3,3,2,1,3,3
"3",2,2,2,2,1,3,3,1,1,1
"4",3,2,3,1,2,1,1,1,1,1
"5",3,1,1,1,1,2,3,2,3,1
"6",1,2,2,2,1,3,2,3,3,1
"7",2,3,2,3,3,2,1,1,1,3
"8",1,2,2,2,3,1,2,3,1,2
"9",2,1,2,3,2,1,1,3,3,1
"10",1,1,2,1,1,1,2,1,2,3
"11",3,2,2,1,3,2,3,2,1,3
"12",3,3,1,1,2,3,2,3,1,2
"13",1,3,1,3,1,1,2,2,1,1
"14",1,3,3,2,2,2,3,2,1,3
"15",1,3,3,2,1,2,1,2,3,2
"16",2,1,1,2,3,1,3,1,1,2
"17",1,1,3,3,2,2,2,1,2,1
"18",1,3,2,1,2,3,3,1,3,2
"19",3,1,3,2,1,2,1,3,1,2
"20",3,3,2,2,1,1,3,3,2,3
"21",1,2,1,3,3,2,3,3,3,3
"22",3,2,1,3,1,3,1,1,2,2
"23",2,1,1,3,2,3,2,2,1,3
"24",2,3,3,1,3,1,2,3,3,1
"25",1,1,1,1,3,3,1,2,2,1
"26",3,1,2,3,3,1,2,2,2,2
"27",2,2,2,1,3,2,1,2,3,2
"28",2,1,3,1,2,3,3,3,2,2
"29",3,3,3,3,3,3,3,2,2,1
"30",2,3,1,2,2,2,2,1,2,1
"31",2,2,1,1,1,2,1,3,2,3
"32",1,2,3,3,2,3,1,3,2,3
"33",2,2,3,3,1,1,3,1,3,2
