"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",5,1,5,5,4,2,2,4,1,1,1,6,3,6,3,4,3,2,2,5,3,1,5,5
"2",3,4,6,1,6,2,2,6,1,3,4,2,3,5,3,6,4,1,4,6,6,6,3,3
"3",6,6,1,6,4,4,3,5,5,3,5,4,2,5,4,6,4,6,2,1,5,5,3,6
"4",5,3,3,4,4,6,3,3,2,2,6,3,1,5,2,1,1,5,5,1,2,6,5,2
"5",2,4,2,5,1,6,6,2,3,4,6,5,3,6,2,4,5,6,4,6,5,4,5,5
"6",2,3,5,4,4,1,3,1,5,6,2,4,5,1,4,3,6,2,3,6,6,6,5,2
"7",6,2,3,1,4,5,6,2,1,1,3,6,4,4,6,1,4,1,3,3,6,5,4,3
"8",2,2,5,6,3,6,5,6,2,4,2,2,5,5,3,3,5,5,5,1,5,1,2,3
"9",5,3,4,1,3,2,1,3,5,6,3,5,5,1,2,5,4,6,6,1,3,2,4,6
"10",5,1,2,6,5,4,1,3,6,5,6,3,5,4,3,3,3,1,6,4,5,6,1,4
"11",3,6,3,3,5,3,5,3,5,6,1,6,4,5,6,5,6,3,5,6,5,3,1,5
"12",4,3,6,2,1,4,4,2,2,5,1,4,3,1,5,1,5,6,2,4,2,1,1,4
"13",2,3,5,6,3,4,1,5,1,6,4,1,6,4,4,6,1,4,1,3,2,3,2,5
"14",2,2,1,3,5,2,6,4,4,2,1,2,5,3,1,6,5,5,1,4,1,5,4,4
"15",4,6,2,2,2,4,2,5,1,3,2,4,6,6,1,4,6,3,5,2,1,6,4,4
"16",3,1,5,3,1,2,4,6,2,6,6,4,4,4,6,3,3,1,4,1,1,4,6,5
"17",5,1,1,4,1,4,6,6,5,4,5,3,5,1,1,4,1,3,3,6,3,1,4,3
"18",1,3,5,6,5,2,5,2,4,4,6,3,2,4,6,2,1,2,2,5,5,1,4,2
"19",3,6,2,3,5,1,1,5,2,3,5,6,5,2,3,1,5,5,3,5,4,2,5,2
"20",3,4,3,5,5,6,4,5,3,3,1,4,6,1,1,5,2,1,1,2,6,3,3,1
"21",2,6,2,4,6,6,2,3,6,6,3,4,3,4,3,2,4,2,1,1,2,1,6,3
"22",1,5,4,2,4,4,3,1,3,2,5,1,5,5,1,5,2,2,6,4,4,1,6,5
"23",3,6,4,5,2,3,5,3,1,3,2,1,1,3,6,5,4,6,3,2,3,1,6,1
"24",4,5,6,5,4,6,2,6,5,5,2,1,4,3,6,1,2,5,4,5,4,6,4,5
"25",3,2,3,3,1,5,4,1,5,5,1,1,2,6,3,6,1,2,2,2,4,5,5,4
"26",2,2,4,2,3,5,4,6,6,2,6,5,1,5,5,5,6,2,2,4,2,4,2,2
"27",3,1,5,3,3,4,1,1,4,1,3,2,3,4,1,2,5,6,6,6,2,5,3,1
"28",1,4,4,2,6,5,5,5,1,5,3,6,4,2,5,6,1,4,6,4,2,5,4,1
"29",4,5,1,1,3,3,1,3,3,4,6,6,1,3,4,4,2,3,1,6,1,5,6,5
"30",1,5,3,1,2,5,2,6,4,1,2,3,1,1,4,3,5,4,2,3,5,2,5,6
"31",1,5,1,5,1,5,3,4,2,2,3,2,5,6,5,2,3,3,2,6,4,5,1,2
"32",5,4,5,1,6,6,5,1,6,3,4,2,5,6,6,3,4,4,3,4,1,3,5,6
"33",1,3,2,6,1,3,3,1,6,1,2,6,4,4,4,4,1,5,5,5,1,2,3,3
"34",6,5,6,2,6,3,6,4,2,6,6,2,3,3,1,4,6,3,2,2,5,2,3,4
"35",4,5,4,6,6,2,2,2,5,4,1,5,1,6,1,1,2,4,4,4,3,4,2,1
"36",6,2,4,4,2,3,1,5,4,5,4,3,4,6,6,5,6,5,1,4,6,2,5,1
"37",6,4,3,5,6,2,4,6,3,1,6,4,6,3,5,2,4,6,6,6,2,3,2,4
"38",3,6,2,6,3,1,5,4,6,1,4,2,3,1,6,5,3,2,6,3,3,6,5,3
"39",4,3,1,1,4,4,6,5,3,6,1,1,2,5,4,3,4,1,6,5,3,3,6,1
"40",6,1,4,2,5,3,2,6,4,3,2,1,3,2,4,2,2,2,3,1,1,2,1,2
"41",5,5,2,3,3,1,6,2,4,5,4,5,6,6,5,6,3,3,4,1,2,1,2,2
"42",4,2,1,1,2,2,2,1,2,1,6,4,4,3,2,6,2,3,3,3,5,3,1,1
"43",3,2,1,5,5,5,5,1,1,5,4,5,1,3,3,2,6,3,5,3,1,2,3,6
"44",2,5,5,4,5,3,6,2,3,1,5,5,4,1,3,3,1,5,2,2,3,6,1,6
"45",2,1,1,2,6,1,3,4,3,4,3,3,3,6,5,1,2,6,5,2,6,3,4,6
"46",5,3,3,6,1,1,4,6,3,6,3,6,1,3,2,3,5,4,1,2,4,6,1,3
"47",5,6,5,3,1,6,1,4,4,2,4,5,2,3,5,2,1,2,6,3,6,2,2,4
"48",1,6,6,1,4,1,3,5,5,5,5,3,2,5,2,4,3,5,3,3,1,4,1,1
"49",1,4,1,4,4,1,1,1,2,2,1,3,2,2,6,4,5,1,4,1,3,4,2,4
"50",6,2,6,4,2,1,6,3,2,3,2,4,1,4,4,5,2,4,6,6,4,5,2,6
"51",4,1,6,5,6,5,1,3,4,2,5,5,6,2,5,6,6,4,4,2,4,4,6,3
"52",5,1,3,3,5,6,2,1,1,6,5,2,2,1,5,4,3,6,1,5,4,4,3,3
"53",4,4,4,5,2,1,5,3,5,2,5,1,4,5,2,1,6,1,1,3,2,2,3,6
"54",6,6,2,4,3,2,4,2,1,5,2,2,6,2,2,2,1,4,4,4,6,4,6,5
"55",6,5,6,6,2,5,3,2,3,4,3,3,2,1,2,6,5,1,5,5,1,3,4,2
"56",4,3,2,3,6,5,4,4,6,1,3,1,1,2,2,5,3,5,4,5,6,1,1,5
"57",1,2,6,4,3,3,6,5,6,3,4,6,2,2,1,1,3,3,5,2,6,3,6,4
"58",6,4,6,2,2,4,5,4,6,2,1,5,6,4,3,3,2,6,1,3,5,4,6,2
