"","V1","V2","V3"
"1",4,3,5
"2",1,5,6
"3",6,5,4
"4",5,6,1
"5",4,2,4
"6",4,5,6
"7",3,6,2
"8",2,3,4
"9",5,1,4
"10",3,5,1
"11",3,3,2
"12",5,1,3
"13",3,1,5
"14",2,4,6
"15",5,3,3
"16",2,1,6
"17",3,2,3
"18",2,6,4
"19",2,6,3
"20",6,5,3
"21",5,3,6
"22",1,3,5
"23",6,3,2
"24",6,2,6
"25",1,4,2
"26",5,4,4
"27",1,2,3
"28",4,6,2
"29",3,2,6
"30",4,2,1
"31",6,4,2
"32",6,2,1
"33",6,1,5
"34",5,6,6
"35",2,1,1
"36",3,4,5
"37",6,6,5
"38",1,6,5
"39",4,4,5
"40",1,2,4
"41",2,4,3
"42",2,3,1
"43",1,5,1
"44",3,5,4
"45",1,1,2
"46",4,1,2
"47",4,5,3
"48",5,4,1
