"","V1","V2","V3","V4","V5","V6"
"1",5,3,2,5,3,1
"2",5,4,2,3,2,4
"3",2,3,2,3,5,5
"4",1,4,2,1,3,2
"5",3,4,3,4,1,1
"6",5,1,5,5,3,3
"7",2,2,2,5,1,4
"8",4,4,5,2,1,3
"9",2,1,3,4,2,3
"10",1,2,3,4,4,1
"11",4,3,1,1,5,4
"12",3,1,5,2,4,4
"13",5,1,3,3,5,5
"14",3,2,4,4,3,2
"15",4,5,4,5,2,2
"16",1,2,4,1,5,3
"17",1,1,4,3,1,1
"18",3,4,1,3,1,3
"19",4,2,5,3,4,2
"20",3,5,3,5,5,4
"21",5,2,1,2,1,2
"22",1,4,4,5,4,5
"23",4,3,4,2,3,4
"24",5,4,3,1,4,3
"25",3,5,2,2,4,3
"26",2,5,1,3,4,1
"27",3,2,4,1,2,5
"28",1,3,1,5,2,3
"29",5,3,5,4,1,5
"30",5,5,4,2,5,1
"31",1,5,5,3,2,4
"32",4,5,1,4,3,5
"33",2,3,3,2,2,2
"34",3,1,1,5,5,2
"35",1,1,1,2,3,5
"36",2,5,3,1,1,5
"37",4,1,2,1,2,1
"38",2,3,5,1,3,1
"39",4,2,2,4,4,4
"40",2,4,5,4,5,2
