"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",3,3,2,3,2,2,1,3,3,1,3,3,3,2,1,2,2,1,1,1,3,2
"2",3,2,3,3,1,3,2,2,3,1,1,2,2,1,3,3,3,3,3,3,2,2
"3",2,1,2,3,3,3,2,3,1,3,2,3,3,3,2,1,3,3,2,2,2,1
"4",3,2,2,1,3,3,3,1,3,3,1,2,2,2,2,2,1,1,3,1,3,1
"5",1,3,3,2,1,3,2,1,2,2,3,1,3,3,1,3,1,2,2,2,1,1
"6",1,3,1,3,3,3,3,2,2,2,3,3,1,1,3,2,1,2,2,3,2,3
"7",1,3,2,2,1,2,3,3,1,2,1,2,1,3,3,3,2,3,1,1,3,2
"8",1,1,1,1,2,1,3,2,2,1,2,1,3,2,1,2,2,3,3,3,3,1
"9",2,1,3,1,2,2,1,3,2,2,3,2,1,1,2,1,1,3,3,1,1,2
"10",2,1,1,2,2,1,2,1,3,3,2,3,3,1,3,3,2,2,1,1,1,3
"11",2,2,2,3,2,1,1,2,1,2,1,1,2,2,3,1,1,1,1,3,1,1
"12",3,2,1,1,1,2,3,1,1,3,3,1,2,1,1,1,3,2,1,2,2,2
"13",2,3,1,1,3,2,1,2,1,1,2,2,2,3,2,3,3,1,3,2,1,3
"14",1,2,3,2,3,1,1,3,3,3,1,1,1,2,1,2,3,2,2,2,2,3
"15",3,1,3,2,1,1,2,1,2,1,2,3,1,3,2,1,2,1,2,3,3,3
