"","V1","V2","V3","V4","V5","V6","V7"
"1",1,2,3,1,2,1,2
"2",3,1,1,2,1,2,3
"3",1,1,1,3,2,3,2
"4",1,3,3,3,2,2,1
"5",3,2,1,2,2,1,1
"6",1,1,3,2,3,2,2
"7",2,3,3,2,1,2,2
"8",2,1,3,3,2,1,3
"9",2,1,1,1,3,1,2
"10",3,2,3,2,3,1,1
"11",3,1,3,1,1,3,1
"12",1,1,2,2,1,1,1
"13",1,2,2,1,3,3,1
"14",3,3,3,1,3,2,3
"15",1,2,3,2,1,3,3
"16",2,3,2,1,2,1,1
"17",2,2,1,3,1,2,1
"18",3,2,1,3,2,2,2
"19",2,1,2,2,3,3,3
"20",1,3,1,3,3,1,3
"21",3,3,2,3,1,1,2
"22",2,2,2,1,1,1,3
"23",3,1,2,3,3,2,1
"24",2,3,1,2,3,3,1
"25",1,1,2,1,2,2,3
"26",2,3,2,3,1,3,3
"27",1,3,1,1,1,2,2
"28",2,2,3,3,3,3,2
"29",3,2,1,1,2,3,3
"30",3,3,2,2,2,3,2
