"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",5,2,1,2,5,5,3,2,3,5,4,4
"2",2,4,4,1,4,2,2,4,5,5,3,4
"3",2,1,1,3,4,4,5,4,1,3,5,3
"4",4,4,2,1,2,4,4,5,4,2,3,5
"5",1,2,4,5,2,5,1,5,3,4,2,3
"6",5,4,5,4,5,4,2,4,4,3,5,2
"7",1,4,2,5,5,3,3,1,1,4,3,2
"8",3,5,5,3,1,2,3,5,1,4,4,4
"9",3,1,3,1,5,1,4,5,3,3,1,2
"10",4,5,4,1,3,3,5,1,3,1,5,3
"11",1,3,3,3,5,2,1,2,4,1,4,5
"12",4,2,5,3,4,2,5,2,5,4,2,1
"13",3,1,2,4,2,3,1,3,5,4,5,5
"14",4,3,3,1,1,5,1,2,1,3,3,1
"15",4,2,1,4,3,2,2,5,2,1,4,1
"16",2,1,5,2,3,4,2,1,2,2,2,5
"17",2,4,1,4,1,1,5,2,3,3,2,4
"18",3,3,5,4,4,5,4,3,1,1,1,4
"19",2,5,3,5,3,5,4,3,5,2,4,1
"20",5,3,3,5,3,3,5,4,2,5,1,5
"21",5,5,2,2,4,1,1,3,2,2,2,3
"22",3,5,1,3,2,4,2,1,4,5,1,2
"23",5,1,4,5,1,1,3,1,4,2,3,3
"24",1,3,4,2,2,1,4,3,2,5,5,1
"25",1,2,2,2,1,3,3,4,5,1,1,2
