"","V1","V2","V3","V4","V5","V6"
"1",1,2,3,1,1,3
"2",1,1,2,2,1,3
"3",3,2,1,3,1,3
"4",2,1,3,1,1,1
"5",3,3,3,3,2,1
"6",3,1,3,3,2,3
"7",3,1,3,2,3,2
"8",2,3,1,1,1,3
"9",2,3,2,3,1,2
"10",1,2,1,1,2,1
"11",3,2,2,1,2,2
"12",3,2,1,2,2,3
"13",3,3,2,1,1,1
"14",1,2,1,3,3,3
"15",1,3,1,1,3,2
"16",2,2,2,3,3,1
"17",1,3,3,1,2,2
"18",2,2,2,2,2,2
"19",1,3,2,3,2,3
"20",3,1,1,2,3,1
"21",2,1,1,1,3,3
"22",3,3,3,2,1,3
"23",2,3,1,2,2,1
"24",2,3,3,3,3,3
"25",2,2,3,2,1,2
"26",2,2,2,2,2,2
"27",2,1,1,3,2,1
"28",1,1,3,3,3,2
"29",1,3,3,2,3,1
"30",1,1,2,1,3,1
"31",3,1,1,1,1,2
"32",2,1,3,1,2,3
"33",2,2,2,2,3,2
"34",1,1,1,3,1,2
"35",3,3,1,3,3,2
"36",2,2,2,2,2,2
"37",3,1,2,3,1,1
"38",3,3,2,1,3,3
"39",1,3,1,2,1,1
"40",1,1,2,2,2,3
"41",3,2,3,1,3,1
"42",1,2,3,3,1,1
