"","V1","V2","V3","V4","V5"
"1",5,6,4,6,3
"2",5,6,2,1,4
"3",5,4,6,2,6
"4",2,5,1,2,5
"5",3,6,2,6,5
"6",2,6,6,4,6
"7",3,1,3,3,2
"8",1,1,5,4,1
"9",5,4,4,1,2
"10",1,5,3,2,2
"11",4,2,6,4,2
"12",2,2,4,5,2
"13",2,6,3,5,1
"14",4,4,1,3,1
"15",3,4,6,6,1
"16",5,2,3,6,4
"17",2,4,5,5,5
"18",4,6,4,2,1
"19",4,3,2,4,4
"20",3,1,1,5,3
"21",2,1,4,1,5
"22",3,2,5,2,6
"23",3,3,1,1,6
"24",1,6,1,3,4
"25",5,5,6,3,1
"26",6,1,4,3,4
"27",1,4,2,1,3
"28",3,4,4,4,4
"29",5,3,3,5,1
"30",2,3,6,3,3
"31",6,4,3,4,3
"32",6,5,4,5,6
"33",4,2,2,3,5
"34",1,2,2,5,6
"35",6,2,5,6,2
"36",5,1,6,5,5
"37",6,4,1,6,5
"38",4,1,5,2,3
"39",3,3,4,3,1
"40",1,2,6,1,4
"41",6,6,5,3,5
"42",1,3,4,4,5
"43",5,2,1,2,3
"44",1,3,1,6,2
"45",4,5,3,1,6
"46",3,5,5,2,4
"47",2,2,2,2,1
"48",4,3,5,6,6
"49",6,1,2,1,1
"50",4,5,2,5,2
"51",5,1,1,4,6
"52",4,5,6,5,4
"53",2,1,3,6,4
"54",1,5,5,6,3
"55",6,3,6,1,3
"56",6,6,1,4,2
"57",2,6,5,1,2
"58",6,3,3,2,5
"59",1,4,3,3,6
"60",3,5,2,4,3
