"","V1","V2","V3","V4","V5","V6","V7"
"1",5,4,3,2,1,3,1
"2",5,1,2,2,5,4,3
"3",4,5,3,3,4,1,1
"4",1,4,5,2,2,2,2
"5",5,3,1,5,3,3,5
"6",5,2,2,4,3,1,2
"7",2,2,5,3,4,4,5
"8",2,1,4,4,1,4,2
"9",4,2,1,1,2,5,2
"10",5,3,4,1,4,2,3
"11",1,1,1,3,3,1,3
"12",1,5,2,5,2,4,3
"13",2,4,2,1,5,1,4
"14",3,4,1,4,4,4,1
"15",1,2,3,1,1,3,4
"16",3,2,4,4,5,2,4
"17",1,4,3,4,4,2,5
"18",3,1,5,1,3,3,1
"19",2,5,3,2,3,5,3
"20",3,3,5,5,1,1,3
"21",4,1,3,5,4,5,4
"22",2,3,1,2,5,3,2
"23",5,4,5,4,2,5,4
"24",3,5,4,1,3,4,5
"25",4,1,4,2,2,1,5
"26",4,5,5,5,5,3,2
"27",4,5,1,3,1,2,4
"28",1,3,4,3,5,5,1
"29",3,3,2,3,1,5,5
"30",2,2,2,5,2,2,1
