"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",8,21,22,15,11,20,16,12,7,2,1,13,20,21,13,14,7
"2",16,20,8,14,18,8,2,14,9,21,3,18,16,4,16,6,15
"3",18,17,18,6,4,12,9,21,10,8,17,3,17,8,20,10,1
"4",5,12,9,10,5,7,4,16,21,3,4,2,9,19,4,9,16
"5",12,22,13,9,2,21,17,10,13,18,14,9,2,7,3,5,22
"6",4,4,20,4,10,16,7,19,2,15,8,14,6,10,15,2,17
"7",3,9,11,17,17,6,19,8,8,4,13,5,4,6,19,4,4
"8",21,13,16,11,7,3,21,13,3,7,9,21,7,1,7,20,12
"9",22,7,10,13,9,15,13,1,6,22,22,1,8,22,14,13,14
"10",20,5,3,18,13,19,20,18,20,13,7,6,18,9,8,7,9
"11",15,2,4,2,1,5,15,9,12,16,2,15,10,15,22,12,5
"12",11,14,2,20,3,2,6,5,1,11,16,11,22,16,10,1,11
"13",1,19,17,1,14,9,22,2,22,12,21,17,15,12,11,8,13
"14",2,18,7,19,8,13,12,20,16,19,12,19,5,17,9,19,2
"15",13,1,12,22,19,10,14,22,5,5,18,16,14,14,1,11,21
"16",10,10,14,7,22,1,18,17,14,17,11,7,21,18,17,21,18
"17",7,16,5,5,20,14,11,3,4,14,6,4,13,5,2,18,8
"18",6,6,6,12,6,18,10,7,17,6,15,20,19,3,18,16,19
"19",14,11,1,3,16,22,1,15,11,1,20,12,1,11,12,22,10
"20",17,8,15,8,21,17,5,6,15,9,10,22,11,20,6,3,3
"21",19,15,19,21,15,11,8,4,19,10,5,10,3,13,21,17,20
"22",9,3,21,16,12,4,3,11,18,20,19,8,12,2,5,15,6
