"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",4,4,4,9,15,19,12,19,14,7,2,8,4
"2",1,9,18,18,19,15,1,4,12,2,11,15,9
"3",15,10,7,1,9,6,22,11,10,1,4,1,10
"4",14,19,3,20,12,16,21,22,11,13,13,16,22
"5",22,6,10,22,18,12,16,14,20,12,22,6,7
"6",10,20,1,13,3,7,2,13,16,15,14,3,5
"7",20,7,21,7,14,8,3,16,7,14,6,9,21
"8",6,12,6,19,13,3,8,6,3,21,7,11,1
"9",16,3,8,17,8,4,4,9,13,6,20,20,16
"10",7,14,22,5,10,9,14,15,21,5,16,19,2
"11",8,22,20,21,6,11,13,8,6,8,1,5,14
"12",2,16,9,2,5,13,5,20,8,19,21,13,12
"13",3,18,14,8,16,2,19,5,15,11,18,7,20
"14",5,8,12,16,4,21,18,12,17,17,5,21,18
"15",17,17,17,14,21,5,11,18,18,20,3,17,11
"16",13,2,16,3,11,17,7,7,22,22,12,4,15
"17",21,15,5,10,2,14,10,1,19,4,8,12,19
"18",19,21,11,4,17,18,6,10,4,10,9,22,6
"19",9,5,2,6,22,10,15,2,5,16,15,18,13
"20",12,1,15,11,1,1,17,21,1,9,10,14,8
"21",18,11,19,12,7,20,20,3,9,18,19,10,3
"22",11,13,13,15,20,22,9,17,2,3,17,2,17
