"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",6,16,7,17,22,8,22,8,12,1,22,14,8,12
"2",5,9,15,20,5,21,13,18,20,15,21,9,18,9
"3",16,5,21,6,21,5,14,19,4,4,7,10,14,13
"4",19,19,17,5,13,7,7,2,21,14,20,7,10,15
"5",14,1,3,15,15,20,11,12,22,8,2,21,11,17
"6",11,10,20,12,19,18,19,9,16,22,12,2,4,21
"7",17,12,8,10,20,19,3,4,3,17,16,18,17,8
"8",21,4,13,19,8,9,20,6,11,20,5,16,20,14
"9",7,18,19,18,14,11,4,21,7,11,11,20,22,20
"10",12,11,11,2,4,1,1,10,17,2,13,13,19,22
"11",9,2,16,16,9,15,5,7,5,3,15,3,12,1
"12",22,14,10,22,17,13,6,17,18,5,9,11,1,4
"13",13,17,14,1,11,22,21,14,1,12,3,12,6,3
"14",10,15,1,7,10,6,15,20,19,21,14,19,13,2
"15",20,21,4,11,7,16,18,16,8,7,17,5,16,18
"16",2,22,12,14,18,2,9,13,10,18,1,4,15,7
"17",4,6,5,3,16,12,17,1,14,9,10,6,21,5
"18",8,13,2,21,6,4,12,3,2,13,8,8,5,19
"19",1,3,9,4,12,14,8,15,6,19,19,15,2,16
"20",15,7,6,9,1,10,2,22,13,16,4,1,7,11
"21",3,20,22,8,3,17,10,5,15,6,6,17,9,10
"22",18,8,18,13,2,3,16,11,9,10,18,22,3,6
