"","V1","V2","V3","V4","V5"
"1",2,3,2,3,2
"2",3,2,3,3,2
"3",2,1,3,1,3
"4",1,1,1,3,1
"5",3,2,1,1,3
"6",2,2,3,3,2
"7",2,3,3,2,3
"8",1,1,1,1,3
"9",1,1,3,2,2
"10",3,1,2,3,3
"11",3,1,2,3,3
"12",3,1,2,1,3
"13",1,2,3,3,1
"14",1,1,1,1,2
"15",3,2,3,2,2
"16",1,2,1,1,3
"17",1,1,1,2,3
"18",3,2,3,3,1
"19",1,2,3,2,2
"20",3,3,3,1,2
"21",1,2,1,3,2
"22",2,3,2,2,2
"23",3,1,1,3,3
"24",2,3,1,3,1
"25",1,2,2,3,2
"26",1,2,1,3,1
"27",1,3,2,2,3
"28",3,2,1,3,1
"29",2,1,3,1,1
"30",2,3,3,2,1
"31",2,3,3,3,3
"32",3,3,2,3,3
"33",3,1,1,2,1
"34",1,1,3,3,1
"35",2,2,1,2,1
"36",2,2,2,2,2
"37",2,2,1,3,1
"38",2,3,1,1,1
"39",3,1,1,3,2
"40",1,3,3,2,2
"41",2,1,3,2,3
"42",3,3,2,3,2
"43",2,1,2,3,3
"44",3,1,2,2,3
"45",3,1,1,2,1
"46",1,2,1,3,3
"47",2,1,1,3,2
"48",1,3,3,3,3
