"","V1","V2","V3","V4","V5"
"1",2,3,3,2,3
"2",3,3,1,3,1
"3",4,2,1,1,2
"4",1,1,2,4,4
"5",1,4,3,4,4
"6",3,1,1,3,2
"7",2,3,3,1,3
"8",3,3,4,4,1
"9",3,3,4,1,2
"10",2,2,3,4,3
"11",3,4,1,3,1
"12",3,2,3,3,2
"13",4,1,3,1,1
"14",3,1,2,1,1
"15",1,4,2,4,4
"16",3,3,2,1,3
"17",4,3,2,3,3
"18",3,1,2,1,1
"19",3,4,4,3,3
"20",4,4,1,2,3
"21",4,2,4,1,3
"22",2,4,2,4,2
"23",4,3,1,2,1
"24",2,1,1,4,2
"25",3,4,2,1,3
"26",2,4,3,4,3
"27",2,1,3,3,3
"28",4,3,2,3,3
"29",1,2,1,4,3
"30",2,3,3,1,1
"31",2,1,4,4,2
"32",1,4,1,4,4
