"","V1","V2","V3","V4","V5"
"1",3,2,2,3,2
"2",3,1,2,1,2
"3",2,1,1,1,3
"4",2,1,1,2,3
"5",3,1,1,2,2
"6",3,3,3,3,3
"7",1,2,2,2,3
"8",2,2,1,3,1
"9",3,2,1,1,3
"10",1,1,3,3,3
"11",3,3,1,1,1
"12",2,1,3,3,3
"13",3,3,1,2,2
"14",3,1,1,2,1
"15",2,1,1,3,3
"16",2,3,3,2,3
"17",3,2,3,3,2
"18",2,1,2,1,2
"19",2,1,3,2,1
"20",3,1,1,1,2
"21",1,3,3,3,3
"22",2,1,2,1,1
"23",1,3,3,1,3
"24",1,2,3,3,3
"25",1,1,3,3,1
"26",1,2,1,3,2
"27",3,3,1,3,3
"28",1,1,3,2,2
"29",3,2,3,1,3
"30",2,1,3,1,1
"31",2,3,3,3,1
"32",1,1,3,3,1
"33",2,1,1,2,1
"34",2,3,1,1,3
"35",3,2,3,2,2
"36",2,2,2,3,1
