"","V1","V2","V3","V4"
"1",3,1,1,3
"2",3,3,1,2
"3",1,2,2,2
"4",3,2,3,1
"5",2,1,1,1
"6",1,3,2,1
"7",3,2,1,1
"8",1,1,1,2
"9",2,3,3,3
"10",3,1,2,1
"11",3,3,3,2
"12",2,2,2,3
"13",1,1,2,3
"14",1,3,1,2
"15",1,2,1,1
"16",2,3,2,2
"17",2,1,3,3
"18",3,3,2,3
"19",2,3,1,1
"20",1,3,2,3
"21",3,2,3,3
"22",2,1,1,3
"23",3,1,3,2
"24",3,1,1,2
"25",1,1,3,2
"26",1,3,3,1
"27",1,2,3,1
"28",3,1,2,3
"29",1,2,1,3
"30",3,2,1,3
"31",2,1,3,1
"32",1,1,2,1
"33",2,3,3,1
"34",2,2,3,2
"35",2,3,1,3
"36",2,2,2,1
"37",2,1,2,2
"38",2,2,1,2
"39",3,3,2,1
"40",1,3,3,2
"41",3,2,2,2
"42",1,2,3,3
