"","V1","V2"
"1",2,3
"2",2,3
"3",2,1
"4",3,1
"5",3,3
"6",2,1
"7",2,3
"8",1,3
"9",2,1
"10",2,1
"11",2,3
"12",2,2
"13",3,2
"14",3,2
"15",3,1
"16",2,2
"17",1,1
"18",1,2
"19",2,1
"20",2,3
"21",2,1
"22",3,2
"23",1,2
"24",1,1
"25",2,1
"26",2,2
"27",2,3
"28",3,2
"29",2,3
"30",1,3
"31",1,1
"32",2,1
"33",2,1
"34",3,3
"35",1,2
"36",3,1
"37",2,3
"38",1,3
"39",2,2
"40",3,1
"41",2,3
"42",3,2
"43",1,1
"44",3,3
"45",1,1
"46",3,3
"47",3,1
"48",3,2
"49",1,2
"50",3,2
"51",1,1
