"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1,3,3,1,2,3
"2",3,1,1,1,2,2,3
"3",3,3,3,1,2,1,3
"4",3,2,1,2,3,3,2
"5",1,3,3,3,1,3,1
"6",1,1,1,2,1,2,1
"7",3,1,3,3,1,3,3
"8",1,2,3,2,3,3,1
"9",3,3,1,3,3,1,1
"10",2,3,2,1,3,2,2
"11",2,1,1,3,3,3,1
"12",2,2,1,1,3,2,2
"13",3,2,1,2,1,2,2
"14",3,3,1,2,1,2,2
"15",3,3,2,3,1,1,2
"16",3,1,2,1,1,1,3
"17",2,3,2,3,2,1,2
"18",3,1,3,3,1,2,2
"19",1,2,2,2,2,2,3
"20",3,3,2,3,2,1,2
"21",3,1,3,1,1,1,2
"22",1,3,1,3,2,3,2
"23",2,1,3,2,1,3,3
"24",1,3,3,1,3,3,3
"25",3,1,1,1,3,3,2
"26",2,3,2,1,2,1,3
"27",3,2,1,3,3,2,1
