"","V1","V2"
"1",5,2
"2",4,4
"3",3,3
"4",4,3
"5",5,2
"6",1,4
"7",3,1
"8",4,4
"9",2,5
"10",4,3
"11",3,4
"12",3,3
"13",5,4
"14",1,5
"15",4,5
"16",2,5
"17",2,3
"18",2,4
"19",4,5
"20",1,5
"21",3,5
"22",2,1
"23",4,1
"24",1,1
"25",5,5
"26",1,4
"27",5,5
"28",4,2
"29",1,3
"30",1,3
"31",3,4
"32",3,1
"33",3,2
"34",1,2
"35",5,1
"36",4,4
"37",5,3
"38",2,3
"39",5,1
"40",5,4
"41",5,2
"42",4,2
"43",2,2
"44",1,1
"45",1,5
"46",3,1
"47",3,2
"48",1,2
"49",5,3
"50",2,3
"51",3,5
"52",2,2
"53",2,1
"54",4,1
"55",2,4
