"","V1","V2"
"1",4,2
"2",4,2
"3",4,1
"4",1,2
"5",1,2
"6",4,3
"7",2,2
"8",2,2
"9",3,3
"10",1,4
"11",3,3
"12",2,4
"13",1,3
"14",1,3
"15",1,3
"16",4,2
"17",2,4
"18",1,2
"19",1,4
"20",1,4
"21",4,4
"22",4,3
"23",4,2
"24",3,3
"25",2,3
"26",2,2
"27",2,2
"28",3,2
"29",1,4
"30",4,2
"31",2,2
"32",3,3
"33",2,4
"34",1,3
"35",1,1
"36",1,1
"37",1,1
"38",4,1
"39",3,1
"40",1,3
"41",1,4
"42",3,1
"43",2,1
"44",3,1
"45",1,2
"46",1,4
"47",2,3
"48",1,2
"49",4,4
"50",4,1
"51",3,4
"52",4,4
