"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",4,1,3,4,2,2,4,2,3,1,4,3,1,4,3,4
"2",2,2,3,2,4,1,2,2,1,3,3,1,4,1,2,2
"3",2,3,4,3,1,2,4,4,1,4,2,2,2,3,1,4
"4",1,1,3,1,2,1,1,1,1,2,2,3,1,1,1,4
"5",2,1,2,4,1,4,4,1,4,2,1,2,1,3,4,2
"6",4,3,1,1,2,2,2,1,2,3,2,2,1,1,1,3
"7",3,2,1,1,4,3,3,1,4,2,2,1,1,3,3,1
"8",3,3,4,2,4,1,1,3,3,3,4,1,3,1,3,2
"9",3,4,1,1,1,2,1,2,1,1,1,4,4,1,2,2
"10",4,2,2,4,4,3,3,1,3,4,1,1,4,4,3,2
"11",1,2,1,4,4,1,4,1,4,4,4,3,2,1,1,4
"12",4,2,1,2,4,4,4,1,3,3,3,1,4,2,3,1
"13",4,3,3,4,1,3,4,4,3,2,1,1,4,2,2,1
"14",2,2,3,4,3,3,4,3,1,1,4,3,1,4,1,2
"15",2,2,1,1,1,1,3,4,4,3,1,3,1,1,1,1
"16",4,1,2,1,3,1,2,2,2,3,4,1,3,1,3,2
"17",3,2,4,3,1,4,4,3,2,4,2,4,2,4,4,2
"18",4,3,3,4,3,3,4,4,1,3,2,2,4,3,2,1
"19",3,3,2,4,3,3,2,1,4,1,2,1,2,1,2,3
"20",2,3,3,3,4,2,2,1,3,3,4,3,3,3,1,1
"21",2,2,2,4,4,3,1,4,2,2,4,4,2,3,1,3
"22",1,4,1,2,1,1,2,3,1,4,1,4,1,1,2,4
"23",4,4,4,4,3,4,3,1,1,4,2,2,2,4,1,4
"24",3,1,1,1,3,2,3,2,3,4,2,4,4,3,1,3
"25",1,1,3,1,4,4,4,2,4,1,1,4,1,4,2,1
"26",1,4,4,4,1,3,3,3,2,2,3,4,3,2,2,3
"27",1,2,1,3,1,4,2,2,2,4,1,1,4,2,2,1
"28",4,2,1,1,3,3,1,1,1,1,2,2,1,3,2,4
"29",3,2,2,3,1,1,4,2,2,3,2,2,4,3,3,2
"30",1,1,4,2,2,1,1,4,2,2,3,1,3,4,4,3
"31",3,3,3,4,2,2,1,2,1,3,2,2,2,3,3,3
"32",1,3,4,2,1,4,1,4,4,2,1,4,1,1,2,2
