"","V1","V2","V3","V4","V5","V6","V7"
"1",2,3,4,1,2,2,2
"2",2,1,3,1,2,2,3
"3",3,1,1,2,3,4,4
"4",1,3,2,3,4,4,3
"5",4,1,3,4,3,2,2
"6",3,4,2,2,2,4,4
"7",2,1,2,3,3,1,4
"8",4,4,1,3,1,1,3
"9",4,3,3,4,2,3,3
"10",3,4,3,2,3,1,3
"11",4,2,2,2,1,1,2
"12",4,1,2,3,4,4,1
"13",1,3,4,4,1,4,1
"14",1,2,1,4,3,2,4
"15",3,3,4,3,2,2,4
"16",4,4,4,1,2,3,2
"17",2,3,2,3,3,4,4
"18",1,2,4,4,1,2,2
"19",4,3,3,4,2,1,2
"20",2,4,2,1,4,3,4
"21",4,2,1,3,4,4,2
"22",2,2,4,3,1,2,3
"23",2,1,3,3,2,4,1
"24",4,2,1,1,4,2,1
"25",1,2,4,1,3,4,4
"26",2,1,4,2,4,4,1
"27",1,2,4,2,3,2,2
"28",2,4,2,2,3,3,4
"29",1,1,2,1,2,1,4
"30",3,4,3,2,4,3,2
"31",1,4,1,1,1,1,3
"32",3,4,1,3,4,1,1
