"","V1","V2","V3","V4"
"1",3,1,2,3
"2",3,1,1,2
"3",2,3,1,3
"4",2,1,3,1
"5",3,2,3,2
"6",1,1,1,2
"7",2,1,2,2
"8",1,2,1,1
"9",2,1,3,3
"10",3,3,2,1
"11",3,1,2,3
"12",1,1,2,1
"13",3,3,1,1
"14",1,2,3,1
"15",1,3,2,2
"16",3,3,3,2
"17",3,2,3,1
"18",3,1,3,2
"19",3,3,3,3
"20",2,2,2,3
"21",1,3,3,3
"22",3,2,1,1
"23",1,3,2,3
"24",2,2,3,3
"25",2,3,1,3
"26",1,2,2,1
"27",1,1,2,3
"28",2,1,3,1
"29",1,2,3,3
"30",1,2,3,2
"31",2,3,2,1
"32",3,1,2,1
"33",3,3,1,2
"34",2,1,1,3
"35",3,3,2,3
"36",2,2,1,1
"37",3,2,2,2
"38",1,1,1,2
"39",1,3,1,2
"40",2,3,3,1
"41",1,3,2,1
"42",2,2,2,2
"43",2,2,1,2
"44",1,1,3,2
"45",2,3,3,2
"46",2,1,1,1
"47",3,2,1,3
"48",1,2,1,3
