"","V1","V2","V3","V4","V5","V6","V7"
"1",3,2,1,2,3,1,1
"2",2,3,1,2,3,1,1
"3",1,2,2,1,1,1,1
"4",1,3,1,2,3,3,1
"5",1,2,3,2,3,2,2
"6",1,1,3,1,1,2,3
"7",3,3,1,3,2,3,3
"8",1,3,2,3,2,3,3
"9",3,3,3,3,1,2,2
"10",2,3,1,2,1,1,1
"11",2,1,2,3,1,1,1
"12",1,1,2,1,3,3,3
"13",3,3,1,2,3,1,2
"14",1,3,3,2,3,3,2
"15",2,3,2,1,2,3,1
"16",1,3,2,2,2,2,3
"17",2,3,2,1,1,1,1
"18",2,2,1,2,1,3,1
"19",3,3,2,1,3,1,3
"20",2,2,3,2,1,3,1
"21",3,2,2,1,2,2,3
"22",3,2,2,3,2,1,2
"23",2,3,2,1,1,1,3
"24",1,2,2,3,2,1,1
"25",3,2,1,1,3,1,2
"26",1,2,3,2,3,2,3
"27",3,3,3,2,3,2,3
"28",3,3,1,2,3,3,1
"29",3,3,3,3,1,2,1
"30",2,2,3,1,3,1,1
"31",2,1,1,1,3,3,3
"32",1,1,2,1,2,1,2
"33",1,1,2,3,2,1,3
"34",3,2,3,3,1,2,3
"35",3,2,2,2,2,1,1
"36",2,2,2,3,3,3,1
"37",2,2,2,2,1,3,1
"38",1,3,1,3,1,1,1
"39",2,3,3,3,2,3,3
"40",1,3,1,3,2,3,2
"41",3,2,1,3,2,1,3
"42",3,2,1,1,3,2,3
"43",3,1,3,1,2,2,3
"44",1,3,3,1,1,2,3
"45",3,3,1,3,2,2,3
"46",3,3,1,1,1,1,1
"47",1,2,3,3,2,3,2
"48",1,2,2,2,1,3,1
