"","V1","V2","V3","V4"
"1",1,1,2,3
"2",2,4,3,4
"3",2,2,3,2
"4",2,4,2,3
"5",4,4,2,1
"6",2,4,4,3
"7",3,4,3,2
"8",2,1,3,1
"9",1,4,1,2
"10",3,1,3,2
"11",2,4,2,3
"12",1,3,1,3
"13",1,3,2,2
"14",3,3,3,1
"15",4,2,2,3
"16",2,4,4,4
"17",3,2,1,1
"18",4,4,3,3
"19",2,3,4,2
"20",4,1,2,4
"21",4,2,1,3
"22",4,1,1,1
"23",4,3,2,1
"24",1,3,2,4
"25",2,4,3,3
"26",2,3,4,4
"27",2,4,2,2
"28",2,2,2,2
"29",2,3,4,3
"30",4,2,1,1
"31",4,3,1,4
"32",3,4,4,1
"33",1,3,4,1
"34",2,3,4,1
"35",1,3,1,4
"36",2,4,2,2
