"","V1","V2","V3","V4"
"1",2,2,3,3
"2",3,2,2,4
"3",1,3,1,3
"4",1,3,2,2
"5",4,2,4,4
"6",4,3,1,4
"7",2,3,3,4
"8",4,1,1,2
"9",4,2,3,2
"10",1,1,2,1
"11",3,1,3,4
"12",2,3,4,3
"13",3,3,4,2
"14",1,2,1,2
"15",3,4,4,4
"16",2,1,2,2
"17",2,4,1,3
"18",3,1,4,2
"19",4,3,2,1
"20",4,3,4,1
"21",3,4,1,1
"22",3,1,3,1
"23",4,1,2,3
"24",1,4,4,2
"25",2,2,4,1
"26",1,1,4,3
"27",3,2,1,3
"28",1,2,3,4
"29",2,1,1,4
"30",2,2,1,1
"31",1,4,2,4
"32",1,3,3,1
"33",2,4,3,1
"34",4,4,3,3
"35",3,4,2,3
"36",4,4,2,2
