"","V1","V2","V3","V4","V5","V6"
"1",3,4,2,1,1,3
"2",2,4,2,2,4,4
"3",4,1,1,2,1,2
"4",2,1,2,4,2,1
"5",2,3,1,3,1,2
"6",1,1,1,2,4,2
"7",1,4,3,1,2,2
"8",4,2,3,1,4,4
"9",1,2,2,1,1,1
"10",4,4,3,3,2,4
"11",2,2,4,2,2,4
"12",1,4,3,4,3,1
"13",3,4,1,4,4,3
"14",1,1,4,3,2,2
"15",4,3,4,4,1,1
"16",1,3,3,2,1,4
"17",2,3,4,1,4,1
"18",1,2,4,3,4,3
"19",4,4,4,2,3,2
"20",4,3,2,3,4,2
"21",4,1,3,2,3,1
"22",2,3,1,3,3,1
"23",3,4,1,2,2,1
"24",1,2,1,4,2,4
"25",3,1,2,3,1,4
"26",4,3,1,1,2,3
"27",3,2,3,1,3,2
"28",2,4,4,3,1,3
"29",3,2,2,3,4,1
"30",3,2,3,4,1,2
"31",2,1,3,4,4,3
"32",4,2,2,4,3,3
"33",3,1,4,1,2,3
"34",1,3,2,2,3,3
"35",3,3,4,4,3,4
"36",2,1,1,1,3,4
