"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",4,8,16,20,15,1,8,8,10
"2",12,18,14,16,5,6,14,5,2
"3",14,13,2,12,11,3,5,4,20
"4",16,6,3,17,16,10,16,19,11
"5",9,11,6,5,19,5,6,16,1
"6",15,9,15,3,6,17,7,18,18
"7",11,2,8,15,17,18,2,10,16
"8",6,19,4,4,14,16,12,6,14
"9",10,20,20,9,3,11,1,12,12
"10",18,12,18,11,20,19,11,3,8
"11",13,1,17,6,13,13,18,9,3
"12",1,14,7,14,2,12,9,20,7
"13",17,15,9,1,8,2,20,11,9
"14",19,17,11,19,12,15,4,15,5
"15",3,16,13,8,18,8,17,14,19
"16",8,10,10,18,4,14,19,1,17
"17",20,4,5,7,1,7,10,7,13
"18",5,7,1,10,7,20,15,13,4
"19",2,5,12,2,10,9,3,2,6
"20",7,3,19,13,9,4,13,17,15
