"","V1","V2","V3","V4","V5","V6","V7"
"1",13,3,4,3,15,16,5
"2",16,14,16,18,14,2,9
"3",4,2,13,19,7,9,14
"4",5,12,11,4,2,3,4
"5",2,5,18,1,10,13,10
"6",7,16,17,13,4,15,19
"7",8,9,15,9,17,19,1
"8",20,10,14,5,12,5,18
"9",17,6,10,17,18,14,17
"10",18,1,8,8,3,11,8
"11",9,15,3,20,11,12,2
"12",6,8,1,12,20,4,11
"13",14,7,19,14,5,6,3
"14",12,11,5,16,1,20,12
"15",19,20,12,11,8,17,6
"16",10,4,6,10,9,1,20
"17",1,18,9,15,16,7,7
"18",11,19,20,6,19,10,13
"19",15,17,2,2,6,8,15
"20",3,13,7,7,13,18,16
