"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",3,2,1,3,3,1,3,2,1,2,1,2,3,1
"2",3,3,2,3,2,3,1,1,3,2,1,2,1,2
"3",1,1,1,3,3,3,2,2,2,1,2,3,2,1
"4",2,1,2,1,1,3,2,2,3,1,3,2,1,3
"5",3,1,1,2,2,1,1,2,1,2,2,1,1,3
"6",3,3,2,3,3,2,2,3,1,1,3,1,1,2
"7",1,3,1,1,1,2,3,2,2,3,1,2,1,2
"8",2,2,1,1,3,3,1,3,3,2,2,3,1,2
"9",1,3,3,2,3,2,1,1,2,2,3,3,1,1
"10",3,1,3,3,1,3,2,1,1,2,3,2,3,2
"11",3,3,3,2,1,1,3,2,2,3,3,2,2,2
"12",2,1,2,3,2,1,1,3,3,3,3,3,3,2
"13",1,1,2,3,1,2,3,1,2,3,2,1,3,2
"14",2,1,3,1,1,1,2,2,3,2,1,2,3,1
"15",1,2,2,3,1,1,2,1,1,3,2,3,1,1
"16",3,1,3,2,3,2,2,3,3,3,2,1,1,1
"17",3,2,2,1,1,1,1,3,2,2,3,1,2,1
"18",2,2,3,2,3,3,3,1,3,3,1,3,2,2
"19",3,2,1,3,2,3,3,2,2,3,3,3,1,3
"20",3,3,2,1,2,2,3,1,3,1,2,3,3,1
"21",3,2,3,1,2,2,2,3,1,3,1,3,2,3
"22",2,3,2,1,1,3,2,1,1,1,1,1,2,2
"23",2,3,3,3,1,3,3,3,1,2,2,3,2,1
"24",3,1,2,2,1,2,1,1,2,1,1,3,2,3
"25",2,2,1,2,1,1,3,3,3,1,2,2,1,1
"26",1,3,1,2,2,3,2,2,3,2,3,1,3,1
"27",1,2,1,3,1,2,1,3,3,2,1,1,2,3
"28",1,3,2,2,3,1,2,3,2,1,1,3,3,3
"29",3,2,3,1,3,2,1,2,3,1,2,2,3,2
"30",3,1,1,2,2,3,3,3,2,1,1,1,3,2
"31",2,2,2,1,3,1,3,1,2,2,1,1,1,3
"32",1,3,3,1,2,3,2,3,2,3,2,2,3,3
"33",2,3,1,3,3,1,2,1,3,3,2,2,2,3
"34",1,2,1,1,2,1,1,1,1,1,3,2,3,2
"35",2,3,1,2,1,2,1,2,1,2,3,3,3,3
"36",1,2,3,3,2,2,3,1,3,1,3,1,2,3
"37",2,1,1,1,3,2,2,1,2,3,3,1,2,1
"38",1,1,3,2,2,1,3,2,1,1,2,3,1,2
"39",1,1,2,2,2,3,1,3,1,3,1,2,1,1
"40",2,2,3,2,3,3,1,2,1,3,2,1,3,3
"41",2,3,3,3,2,1,1,2,2,1,1,1,2,1
"42",1,1,2,1,3,2,3,3,1,2,3,2,2,3
