"","V1","V2","V3"
"1",2,2,3
"2",2,2,1
"3",1,2,2
"4",1,2,2
"5",3,1,1
"6",2,3,3
"7",1,1,3
"8",1,3,3
"9",2,3,1
"10",2,2,2
"11",1,3,1
"12",3,1,3
"13",1,3,1
"14",1,2,3
"15",2,2,3
"16",1,3,3
"17",3,3,3
"18",2,2,2
"19",3,3,1
"20",3,3,2
"21",3,3,2
"22",1,1,2
"23",2,1,1
"24",1,1,3
"25",1,2,1
"26",3,2,1
"27",3,2,1
"28",2,1,2
"29",1,1,1
"30",2,3,2
"31",3,1,2
"32",2,1,3
"33",3,2,3
"34",3,3,3
"35",3,1,1
"36",2,3,1
"37",2,2,2
"38",1,1,1
"39",3,1,3
"40",2,1,2
"41",3,2,2
"42",1,3,2
