"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,1,4,3,3,2
"2",2,1,3,3,3,4,4
"3",1,4,1,3,2,3,1
"4",4,2,4,3,3,1,4
"5",3,2,2,1,4,2,1
"6",1,4,2,2,2,1,4
"7",1,1,4,4,4,2,2
"8",1,2,1,3,1,4,2
"9",2,1,2,4,1,3,3
"10",3,2,4,1,4,4,4
"11",3,3,1,2,2,4,4
"12",4,1,2,2,4,4,3
"13",3,1,4,1,2,3,1
"14",4,3,4,3,4,3,1
"15",4,1,3,2,1,2,4
"16",2,4,4,1,3,2,3
"17",4,4,1,1,3,3,3
"18",1,3,2,1,3,4,1
"19",3,4,2,4,3,2,4
"20",2,4,2,4,4,4,2
"21",2,3,3,1,2,2,2
"22",1,3,4,4,2,3,4
"23",4,3,1,1,1,1,2
"24",2,1,1,2,3,1,1
"25",2,3,1,3,4,1,4
"26",4,4,2,3,1,2,1
"27",2,3,3,4,3,1,1
"28",1,1,3,1,2,1,3
"29",3,4,3,3,1,4,3
"30",1,2,4,2,1,2,1
"31",4,2,3,2,3,3,2
"32",1,3,3,2,4,3,3
"33",2,4,4,2,1,4,2
"34",4,2,1,4,2,2,3
"35",4,2,3,4,2,4,1
"36",1,2,1,3,4,2,3
"37",3,1,2,3,2,1,2
"38",3,4,3,2,4,1,2
"39",2,2,2,1,1,3,4
"40",3,3,4,4,1,1,3
