"","V1","V2","V3","V4","V5","V6"
"1",1,3,1,2,3,1
"2",3,2,1,2,2,1
"3",2,1,1,2,3,1
"4",3,2,1,3,3,2
"5",2,3,3,2,3,3
"6",3,2,2,1,3,1
"7",1,1,2,1,3,2
"8",2,3,1,1,3,3
"9",2,1,3,3,3,2
"10",2,3,1,1,2,1
"11",3,3,1,2,1,2
"12",1,2,3,3,1,2
"13",1,3,2,2,1,1
"14",1,3,2,3,2,3
"15",3,1,3,2,2,1
"16",2,1,3,1,2,3
"17",3,3,3,2,3,2
"18",2,2,1,3,2,3
"19",2,2,1,3,1,1
"20",3,3,2,3,1,2
"21",2,1,3,1,3,1
"22",1,2,3,2,3,3
"23",3,3,3,3,2,1
"24",1,2,2,1,1,3
"25",3,1,2,1,2,2
"26",2,3,2,3,3,2
"27",1,1,1,2,1,3
"28",3,2,1,1,1,3
"29",1,1,1,3,2,2
"30",3,1,2,2,3,3
"31",3,2,3,1,1,2
"32",1,3,1,2,2,3
"33",2,3,2,1,1,1
"34",3,2,3,3,2,3
"35",1,2,2,3,3,1
"36",2,1,1,1,1,2
"37",2,2,2,2,2,2
"38",1,1,2,3,2,1
"39",1,3,3,1,2,2
"40",3,3,2,1,2,3
"41",1,2,3,1,2,1
"42",3,1,2,3,1,1
"43",3,1,1,3,3,3
"44",2,2,3,2,1,1
"45",1,2,1,1,3,2
"46",1,1,3,2,1,2
"47",2,3,3,3,1,3
"48",2,1,2,2,1,3
