"","V1","V2","V3","V4"
"1",3,1,1,1
"2",2,3,2,1
"3",1,4,2,3
"4",3,1,4,2
"5",1,3,4,3
"6",4,4,1,3
"7",3,3,3,2
"8",2,4,3,3
"9",4,4,3,1
"10",3,2,3,1
"11",1,3,4,1
"12",2,1,3,3
"13",4,2,4,3
"14",2,1,4,1
"15",2,3,1,4
"16",3,4,2,4
"17",1,2,1,2
"18",1,1,3,2
"19",4,3,4,2
"20",1,3,1,1
"21",3,4,4,4
"22",4,1,3,4
"23",1,2,3,4
"24",4,2,1,3
"25",2,2,2,2
"26",4,3,3,4
"27",3,2,1,4
"28",1,1,2,4
"29",3,4,1,2
"30",2,2,4,4
"31",3,3,2,3
"32",2,4,4,2
"33",2,1,1,3
"34",4,1,2,2
"35",1,4,2,1
"36",4,2,2,1
