"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,2,1,1,2,2,3,1
"2",1,3,3,1,3,1,2,2
"3",2,1,3,2,2,3,3,1
"4",2,2,2,1,3,1,1,1
"5",1,2,2,1,1,3,3,3
"6",2,3,1,2,3,3,1,1
"7",3,1,2,3,1,2,3,3
"8",1,1,1,2,2,1,3,1
"9",2,2,3,2,3,1,3,3
"10",2,3,3,1,2,3,3,2
"11",1,2,1,3,3,1,2,1
"12",1,3,2,2,3,3,1,3
"13",1,1,2,1,2,2,1,2
"14",3,3,2,2,1,1,3,1
"15",3,2,3,3,3,3,3,2
"16",1,2,1,2,1,1,1,3
"17",3,3,1,1,2,1,3,2
"18",3,1,2,1,1,3,1,2
"19",3,3,1,3,3,2,2,3
"20",3,2,2,1,2,1,2,3
"21",3,1,3,3,2,1,1,1
"22",1,3,2,3,2,1,3,3
"23",3,1,1,2,3,1,1,2
"24",2,1,3,1,1,1,2,3
"25",2,1,2,3,3,3,1,3
"26",1,1,1,3,1,2,2,1
"27",2,2,1,3,1,3,3,2
"28",3,1,1,2,1,3,2,3
"29",2,3,1,2,2,2,2,3
"30",3,2,3,2,3,2,1,3
"31",2,3,2,3,1,1,1,2
"32",1,2,3,3,2,2,1,2
"33",1,1,3,3,2,3,2,3
"34",2,3,3,1,1,2,1,3
"35",2,1,2,3,2,1,2,2
"36",1,3,3,2,2,2,1,1
"37",3,3,1,3,2,3,1,2
"38",2,1,1,1,3,2,3,3
"39",2,2,3,3,1,3,2,1
"40",3,1,3,1,3,2,2,1
"41",3,2,2,2,2,3,2,1
"42",3,3,3,2,1,2,2,2
"43",1,3,2,1,1,3,2,1
"44",1,2,3,2,1,1,3,2
"45",1,2,1,1,3,3,2,2
"46",2,2,1,1,1,2,1,1
"47",2,3,2,3,3,2,3,1
"48",1,1,2,2,3,2,3,2
