"","V1","V2","V3","V4","V5"
"1",2,3,2,3,1
"2",1,2,3,1,3
"3",3,2,1,3,3
"4",1,2,1,3,1
"5",1,3,1,3,1
"6",3,3,2,3,2
"7",1,2,2,3,3
"8",2,1,3,3,3
"9",3,3,2,2,3
"10",2,2,3,3,1
"11",1,3,3,2,3
"12",3,2,1,2,2
"13",3,2,3,1,3
"14",1,1,1,2,3
"15",2,1,1,1,3
"16",3,1,2,3,1
"17",3,1,3,2,3
"18",1,3,1,2,2
"19",1,1,2,1,2
"20",3,1,3,1,2
"21",1,1,2,3,2
"22",3,1,2,1,3
"23",2,2,1,1,1
"24",2,3,1,2,1
"25",2,2,2,2,3
"26",2,3,1,3,3
"27",2,2,2,2,2
"28",2,3,2,1,3
"29",2,3,3,1,2
"30",3,3,3,2,1
"31",1,2,1,1,2
"32",1,1,2,2,1
"33",3,2,2,1,1
"34",1,3,2,1,1
"35",3,2,3,3,2
"36",2,1,3,1,1
"37",1,3,3,3,2
"38",3,1,1,2,1
"39",3,3,1,1,2
"40",2,1,3,2,2
"41",2,1,1,3,2
"42",1,2,3,2,1
