"","V1","V2","V3"
"1",1,2,3
"2",3,3,2
"3",1,1,2
"4",3,3,1
"5",3,2,3
"6",2,3,2
"7",1,1,3
"8",2,1,1
"9",1,2,1
"10",1,2,2
"11",1,1,2
"12",2,3,2
"13",2,1,1
"14",3,2,3
"15",2,2,1
"16",1,1,3
"17",2,2,2
"18",3,1,3
"19",3,1,2
"20",1,3,1
"21",3,1,1
"22",1,3,3
"23",2,3,3
"24",2,3,3
"25",2,3,1
"26",2,1,2
"27",1,3,3
"28",2,1,1
"29",1,3,1
"30",3,2,1
"31",3,1,2
"32",2,1,3
"33",3,3,2
"34",1,2,1
"35",3,1,2
"36",1,2,3
"37",2,2,3
"38",3,2,1
"39",2,2,2
"40",3,2,2
"41",2,1,3
"42",3,2,3
"43",2,3,1
"44",1,2,2
"45",3,3,1
"46",3,3,3
"47",1,1,1
"48",1,3,2
