"","V1","V2"
"1",2,2
"2",1,1
"3",1,3
"4",1,1
"5",3,2
"6",3,3
"7",2,3
"8",3,2
"9",2,2
"10",1,2
"11",2,3
"12",1,2
"13",3,1
"14",1,1
"15",1,3
"16",1,3
"17",3,2
"18",1,1
"19",3,3
"20",1,2
"21",3,1
"22",3,2
"23",3,1
"24",1,2
"25",1,3
"26",2,1
"27",2,1
"28",1,3
"29",3,3
"30",3,1
"31",2,2
"32",2,2
"33",2,1
"34",3,3
"35",1,1
"36",2,1
"37",2,3
"38",2,1
"39",3,2
"40",1,2
"41",2,1
"42",2,3
"43",1,3
"44",3,2
"45",2,2
"46",2,3
"47",1,1
"48",3,3
"49",3,1
"50",2,2
"51",3,3
