"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,2,3,3,3,1,1,2
"2",2,3,3,3,3,2,2,1
"3",1,3,2,2,1,3,2,1
"4",1,3,3,1,1,2,1,2
"5",3,1,2,1,1,2,3,3
"6",1,1,2,1,2,3,1,2
"7",3,2,1,2,1,1,3,2
"8",2,1,1,2,3,3,3,1
"9",2,3,2,1,3,1,3,3
"10",2,1,3,1,1,1,2,2
"11",3,1,1,3,2,2,2,3
"12",3,2,2,2,3,3,1,3
"13",3,3,3,2,2,3,3,2
"14",1,1,1,2,1,2,1,1
"15",1,2,3,1,3,2,3,1
"16",1,1,1,3,3,1,2,2
"17",3,1,3,1,2,3,2,1
"18",2,1,2,3,2,1,3,1
"19",1,2,3,2,2,1,2,3
"20",3,3,1,1,3,2,2,2
"21",2,1,3,2,3,2,1,3
"22",3,3,2,2,2,1,1,1
"23",3,2,2,3,1,2,2,1
"24",1,2,2,3,3,3,3,2
"25",2,2,1,1,2,1,1,1
"26",2,2,1,1,1,3,2,3
"27",2,2,3,3,1,3,3,3
"28",1,3,1,2,2,2,3,3
"29",2,3,1,3,2,3,1,2
"30",1,3,2,3,1,1,1,3
