"","V1","V2","V3","V4","V5"
"1",1,3,2,2,1
"2",3,2,3,2,1
"3",1,2,2,3,3
"4",1,3,3,2,3
"5",3,3,2,3,1
"6",2,1,3,3,3
"7",1,1,1,3,2
"8",2,2,2,2,2
"9",2,3,3,3,2
"10",1,2,1,2,3
"11",3,3,1,2,2
"12",3,2,1,1,2
"13",3,3,2,1,3
"14",3,2,1,3,3
"15",2,3,1,2,1
"16",3,2,2,1,1
"17",2,1,1,1,2
"18",1,1,3,2,2
"19",2,2,3,1,3
"20",2,3,2,3,3
"21",1,1,2,1,3
"22",2,2,1,3,1
"23",1,2,3,3,1
"24",3,2,3,3,2
"25",2,3,1,1,3
"26",2,3,3,1,1
"27",3,1,2,3,2
"28",2,1,1,2,3
"29",3,1,1,2,1
"30",1,1,2,3,1
"31",1,3,2,1,2
"32",1,2,3,1,2
"33",1,3,1,3,2
"34",2,1,2,1,1
"35",3,1,2,2,3
"36",2,1,3,2,1
"37",3,1,3,1,2
"38",1,2,1,1,1
"39",3,3,3,2,3
