"","V1","V2","V3","V4","V5","V6","V7"
"1",3,3,1,1,3,2,2
"2",2,1,3,1,3,1,1
"3",1,2,1,1,1,3,3
"4",3,2,3,2,3,3,3
"5",1,1,1,2,2,1,1
"6",3,1,1,2,1,2,2
"7",1,2,2,3,3,3,1
"8",2,2,1,3,3,1,2
"9",2,3,1,1,2,1,1
"10",3,3,2,3,2,3,2
"11",3,2,3,1,1,1,2
"12",1,1,3,1,3,2,3
"13",2,3,3,3,3,2,2
"14",3,1,2,1,2,1,3
"15",3,2,2,3,1,2,3
"16",1,3,1,3,1,2,1
"17",1,1,2,3,1,1,2
"18",3,2,1,2,2,3,1
"19",2,1,1,3,2,3,3
"20",2,3,3,1,2,3,3
"21",2,1,2,1,1,3,1
"22",1,2,3,3,2,1,3
"23",1,2,2,1,2,2,2
"24",2,3,2,2,1,1,3
"25",3,1,3,3,2,2,1
"26",2,2,3,2,1,2,1
"27",1,3,3,2,1,3,2
"28",2,1,2,2,3,3,2
"29",3,3,2,2,3,1,1
"30",1,3,1,2,3,2,3
