"","V1","V2","V3","V4"
"1",3,3,2,2
"2",3,3,2,3
"3",2,1,1,1
"4",1,3,1,2
"5",3,2,3,3
"6",1,2,2,2
"7",1,1,1,1
"8",2,2,1,2
"9",2,3,3,2
"10",3,2,2,1
"11",3,3,1,3
"12",2,3,3,1
"13",2,3,2,1
"14",1,1,3,1
"15",2,1,3,3
"16",1,2,3,2
"17",2,2,1,3
"18",2,3,1,2
"19",2,2,2,1
"20",3,2,3,2
"21",3,1,3,1
"22",1,3,2,3
"23",3,1,2,1
"24",3,1,1,3
"25",3,2,1,1
"26",3,2,2,2
"27",1,3,3,1
"28",2,3,1,3
"29",3,1,3,3
"30",2,1,3,2
"31",1,3,2,1
"32",2,2,3,1
"33",1,2,1,1
"34",2,1,2,2
"35",1,1,1,2
"36",1,2,3,3
"37",3,3,3,2
"38",1,1,2,3
"39",1,2,1,3
"40",1,3,3,3
"41",3,1,1,2
"42",3,3,1,1
"43",1,1,2,2
"44",2,1,2,3
"45",2,2,2,3
