"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,3,3,2,1,1,3,1,1,1,2,2,1
"2",2,1,2,1,3,3,3,1,2,2,2,1,1
"3",2,2,3,3,1,3,3,2,3,3,2,2,3
"4",1,2,2,3,1,2,1,3,2,1,2,3,1
"5",1,3,2,2,3,2,3,1,3,3,1,2,2
"6",3,1,3,2,2,3,3,2,2,1,1,3,2
"7",1,1,1,2,1,2,3,2,3,2,3,3,3
"8",2,1,2,2,3,1,1,2,1,3,1,3,1
"9",2,1,1,1,1,1,2,3,2,3,3,2,2
"10",3,2,2,1,2,1,3,3,1,2,2,3,3
"11",2,3,3,2,2,3,2,3,3,2,3,3,1
"12",1,3,2,1,1,3,2,2,1,1,3,1,2
"13",1,3,3,1,2,1,1,2,2,2,1,2,3
"14",3,3,2,3,3,3,1,3,2,3,3,3,2
"15",2,2,3,1,1,2,2,1,1,3,1,3,2
"16",2,2,3,2,3,1,1,2,3,1,3,1,2
"17",2,3,1,3,3,1,2,1,2,1,2,3,3
"18",3,2,1,2,1,3,1,1,2,2,1,1,3
"19",3,2,1,3,3,2,2,2,1,2,3,2,1
"20",3,1,2,3,1,1,2,3,3,2,1,1,2
"21",3,1,2,1,2,2,1,1,3,1,3,2,3
"22",3,3,1,1,2,2,1,2,3,3,2,1,1
"23",1,1,3,2,3,2,2,3,1,3,2,1,3
"24",1,2,3,3,2,1,3,1,2,3,3,1,1
"25",1,2,1,1,3,3,2,3,3,1,1,2,1
"26",2,3,1,3,2,2,3,3,1,1,1,1,3
"27",1,1,1,3,2,3,1,1,1,2,2,2,2
