"","V1","V2","V3","V4"
"1",3,2,2,3
"2",1,3,2,1
"3",1,2,3,3
"4",1,2,2,2
"5",3,2,3,2
"6",1,2,3,1
"7",3,2,1,3
"8",2,3,1,3
"9",2,1,3,1
"10",2,3,3,2
"11",2,2,1,2
"12",1,3,2,3
"13",1,2,1,3
"14",1,3,1,2
"15",1,1,3,2
"16",1,2,1,1
"17",2,1,2,2
"18",1,1,2,3
"19",2,1,3,3
"20",2,3,1,1
"21",3,1,2,3
"22",1,3,3,2
"23",2,1,1,1
"24",3,2,3,1
"25",2,1,1,3
"26",3,3,3,3
"27",1,1,1,2
"28",3,3,2,1
"29",3,3,1,2
"30",3,1,1,2
"31",2,3,3,1
"32",1,1,2,1
"33",2,2,3,3
"34",3,2,1,1
"35",2,2,2,1
"36",2,3,2,3
"37",3,3,2,2
"38",3,1,3,2
"39",3,1,2,1
