"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,1,2,3,1,2,1,1,2,3,1,3,2
"2",2,1,1,2,1,3,3,1,3,3,2,1,3
"3",2,3,3,2,1,2,1,2,1,1,3,2,1
"4",3,1,2,2,3,1,2,1,1,1,2,2,3
"5",3,3,3,1,1,3,3,3,2,2,3,2,2
"6",1,1,3,3,2,2,3,1,2,1,2,3,1
"7",3,2,3,1,2,2,2,2,3,1,1,1,3
"8",2,3,3,3,3,3,2,1,3,2,2,3,2
"9",1,1,3,2,2,3,2,2,3,3,1,2,1
"10",3,3,1,2,1,2,1,3,3,2,2,3,1
"11",1,1,2,2,2,3,1,3,1,2,3,3,2
"12",2,1,3,1,3,3,2,3,2,1,3,3,3
"13",2,3,2,3,3,3,1,2,1,3,1,2,3
"14",2,2,1,3,1,1,2,1,1,2,3,1,1
"15",3,1,2,3,3,2,3,2,3,2,3,1,1
"16",3,2,2,1,1,3,3,2,1,3,2,3,1
"17",3,3,1,2,2,3,2,1,1,1,1,1,2
"18",1,3,3,3,1,1,3,2,2,2,1,1,3
"19",3,3,2,3,2,1,2,3,2,3,1,2,1
"20",1,2,1,1,3,3,1,1,2,2,1,2,1
"21",3,2,3,2,2,1,3,1,3,3,3,2,2
"22",2,3,2,1,2,2,3,1,1,2,1,3,3
"23",1,2,2,3,1,3,2,3,3,1,2,1,2
"24",2,2,3,2,3,2,1,3,2,3,1,1,2
"25",1,2,2,1,1,2,1,1,3,2,3,2,3
"26",2,1,1,3,2,1,1,3,3,2,2,2,3
"27",2,1,1,1,1,1,3,2,2,1,1,2,2
"28",1,3,1,2,3,2,3,2,2,3,3,1,3
"29",2,1,1,1,2,2,2,3,1,3,3,1,1
"30",1,2,1,3,3,2,3,3,1,1,2,2,2
"31",3,2,1,3,2,3,1,2,2,1,3,3,3
"32",1,3,2,1,2,1,1,1,2,1,2,1,1
"33",1,2,3,2,1,1,2,3,1,3,2,3,3
"34",2,2,2,2,3,1,3,3,3,1,1,3,1
"35",3,1,3,1,3,1,1,2,1,2,2,1,2
"36",1,3,1,1,3,1,2,2,3,3,3,3,2
