"","V1","V2","V3","V4","V5","V6"
"1",2,1,2,1,1,3
"2",2,3,1,3,1,2
"3",2,2,2,3,2,1
"4",3,3,1,3,3,3
"5",3,1,2,2,1,1
"6",3,1,3,3,2,1
"7",1,2,3,2,1,1
"8",1,3,2,1,1,2
"9",2,1,3,3,1,2
"10",1,1,2,1,2,2
"11",3,2,2,1,3,1
"12",3,3,3,2,3,2
"13",1,3,3,3,2,2
"14",2,1,1,3,2,3
"15",3,3,2,1,2,3
"16",1,1,1,2,1,2
"17",2,2,1,1,1,1
"18",2,2,2,2,2,2
"19",1,1,3,1,1,1
"20",2,1,1,2,3,1
"21",2,3,2,3,3,3
"22",3,1,2,2,3,3
"23",3,2,3,1,1,2
"24",1,2,1,3,2,1
"25",2,2,3,2,3,2
"26",3,2,3,3,2,3
"27",3,1,1,1,2,2
"28",3,3,2,3,1,1
"29",1,2,3,1,3,3
"30",2,1,3,1,3,1
"31",2,3,3,1,2,1
"32",3,2,1,3,3,2
"33",2,3,3,2,1,3
"34",1,3,1,2,2,3
"35",2,3,1,1,3,2
"36",1,1,2,3,3,2
"37",1,1,3,2,2,3
"38",3,3,1,2,2,1
"39",3,2,1,2,1,3
"40",1,2,2,3,1,3
"41",1,3,2,2,3,1
"42",1,2,1,1,3,3
