"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2,1,1,3,2,3,1,3,2,1,2,1,1,2,3,3
"2",3,2,1,2,3,3,2,1,1,2,3,2,1,3,2,1
"3",3,1,2,3,1,1,2,2,3,3,1,2,1,3,3,2
"4",3,2,3,1,3,2,1,3,2,1,1,1,1,1,2,2
"5",2,1,3,1,1,3,2,1,1,3,1,1,3,2,2,2
"6",1,2,2,2,1,1,1,1,2,2,2,1,3,1,1,3
"7",3,1,2,3,1,2,1,3,1,2,3,3,2,2,1,2
"8",1,1,2,2,3,3,2,3,3,3,2,3,2,2,1,1
"9",2,2,1,1,1,2,3,2,2,3,3,3,1,1,3,3
"10",1,2,1,3,2,3,1,2,1,3,1,2,3,1,2,1
"11",2,3,3,2,3,2,1,2,1,3,2,2,1,3,1,3
"12",1,3,3,2,1,3,1,1,2,1,3,3,2,3,3,2
"13",3,3,2,3,3,2,3,1,2,3,3,1,3,2,3,1
"14",3,3,3,3,1,3,3,3,3,2,2,2,2,1,2,3
"15",1,3,2,1,2,3,2,2,3,2,3,1,1,1,1,2
"16",1,3,2,1,1,1,3,3,1,1,2,2,1,2,2,1
"17",2,3,1,2,3,1,2,3,1,2,1,3,3,1,3,2
"18",2,2,3,1,2,2,1,3,3,2,3,2,3,3,3,1
"19",1,2,3,3,3,1,2,2,3,1,3,3,3,2,2,3
"20",1,1,1,2,2,1,3,3,2,3,3,1,2,3,2,2
"21",3,1,3,2,2,1,2,2,1,1,2,1,2,1,3,1
"22",1,1,2,1,3,2,3,1,1,2,1,2,2,3,3,3
"23",2,2,3,3,2,1,3,1,2,2,1,3,1,2,1,1
"24",3,2,2,1,2,3,3,2,2,1,1,3,3,3,1,3
"25",2,1,1,2,3,2,3,1,3,1,2,2,3,1,1,2
"26",2,3,1,3,1,2,2,2,3,1,1,1,2,3,1,1
"27",3,3,1,1,2,1,1,1,3,3,2,3,2,2,2,3
