"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,2,3,1,1,3,2,1,2,1,3
"2",3,1,1,1,1,1,1,1,2,2,2
"3",3,2,3,1,1,1,3,3,3,1,2
"4",1,2,1,3,2,3,1,1,2,3,2
"5",2,1,2,1,3,2,2,1,1,1,1
"6",3,3,3,2,2,3,1,2,3,2,3
"7",3,2,1,2,3,3,3,3,1,2,1
"8",2,1,3,3,3,1,1,3,1,2,2
"9",2,2,3,1,2,2,3,1,3,2,1
"10",1,1,2,1,3,3,3,2,2,2,3
"11",2,2,1,1,2,2,1,3,1,3,3
"12",2,1,1,3,2,1,2,2,3,1,3
"13",1,1,3,2,2,3,2,3,2,1,1
"14",3,1,2,2,1,2,3,1,1,3,3
"15",1,3,2,3,2,1,3,3,3,3,3
"16",1,2,3,2,3,1,2,2,1,3,3
"17",2,3,3,3,1,2,3,2,2,3,1
"18",3,2,2,3,2,3,3,2,1,1,2
"19",2,3,2,1,3,3,2,3,3,3,2
"20",3,2,2,3,1,1,2,3,2,2,1
"21",1,2,1,3,3,2,1,2,3,1,1
"22",3,3,2,2,3,2,1,3,2,1,3
"23",1,3,2,2,2,1,1,1,1,2,1
"24",2,3,1,3,1,3,2,1,1,2,3
"25",2,1,2,2,1,3,1,2,3,3,1
"26",3,3,1,1,2,1,2,2,2,3,1
"27",2,3,1,2,3,1,3,1,2,1,2
"28",3,1,3,3,3,2,2,1,3,3,2
"29",1,1,1,2,1,2,3,3,3,2,2
"30",1,3,3,1,1,2,1,2,1,1,2
