"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2,1,4,1,3,2,4,2,2,1,1,4,3,3,4,4
"2",2,2,4,4,3,1,3,4,3,2,2,2,4,4,2,1
"3",3,4,3,4,1,3,4,2,4,1,3,2,4,4,4,3
"4",1,4,3,1,1,2,3,3,1,2,2,1,2,2,3,4
"5",1,4,2,2,4,1,2,4,2,3,3,4,4,2,4,2
"6",4,1,2,4,3,2,1,3,2,1,2,1,1,2,1,1
"7",2,2,2,3,1,4,1,3,1,2,3,4,3,4,1,3
"8",1,3,4,2,4,3,1,4,4,1,4,1,2,3,2,3
"9",1,3,3,2,1,3,2,2,3,4,1,3,4,3,1,1
"10",2,1,1,3,4,1,2,2,4,4,3,2,1,3,3,4
"11",4,2,4,1,1,1,1,1,3,4,4,2,3,2,4,2
"12",3,4,1,4,3,2,1,4,1,4,1,3,3,4,3,2
"13",3,1,3,2,2,4,4,4,1,4,3,1,2,3,4,1
"14",4,2,1,2,3,3,3,1,1,1,3,3,4,2,2,4
"15",2,3,1,3,1,1,4,3,2,1,4,3,2,1,3,1
"16",1,2,2,1,2,4,2,1,2,1,1,2,1,4,3,2
"17",3,2,1,1,4,3,1,2,4,2,2,4,2,1,4,1
"18",4,3,3,2,4,1,4,1,2,3,2,3,1,4,1,3
"19",3,3,2,2,2,1,2,4,4,2,1,2,3,1,1,4
"20",1,1,3,4,4,3,3,2,1,3,4,2,3,1,1,2
"21",3,1,1,1,2,2,3,3,3,3,4,1,4,4,2,3
"22",3,4,4,3,2,2,2,1,1,2,4,4,1,3,2,1
"23",4,3,2,4,3,4,2,3,3,3,4,3,2,3,4,4
"24",4,4,1,3,4,4,4,2,3,2,1,1,3,2,2,2
"25",4,1,3,3,1,3,3,4,3,3,1,4,1,1,3,3
"26",2,3,4,3,2,4,1,1,2,3,2,1,4,1,3,4
"27",2,4,4,1,3,4,3,3,4,4,3,3,1,1,1,2
"28",1,2,2,4,2,2,4,1,4,4,2,4,2,2,2,3
