"","V1","V2","V3","V4","V5"
"1",3,3,2,3,2
"2",1,2,1,3,3
"3",1,3,2,2,3
"4",1,2,1,2,1
"5",2,3,3,1,2
"6",3,1,2,3,3
"7",2,3,3,2,1
"8",2,1,3,1,3
"9",3,2,1,1,3
"10",2,2,2,1,3
"11",1,2,3,1,1
"12",1,3,1,1,2
"13",2,1,2,3,1
"14",3,2,3,2,3
"15",1,3,2,3,1
"16",2,3,3,3,3
"17",2,1,1,1,1
"18",2,1,1,3,2
"19",3,2,3,3,1
"20",1,1,2,1,2
"21",3,1,3,1,2
"22",1,2,3,3,2
"23",1,1,3,2,2
"24",3,3,1,2,2
"25",2,3,1,2,3
"26",2,2,2,2,2
"27",3,1,2,2,1
"28",3,2,1,3,1
"29",1,1,1,2,3
"30",3,3,2,1,1
